ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length,ball_line,ball_destination,shot_name,ball_speed,out_type
19.6," Navdeep Saini to Rutherford, SIX, Kohli walks away in frustration. 20 runs off the final over and make it 36 off the last two. Another full toss outside off, Rutherford slices it over point and the short square boundaries help get maximum result ",1st Inns,46t,Delhi Capitals,Royal Challengers Bangalore,"Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Shreyas Iyer(c), Rishabh Pant(w), Sherfane Rutherford, Colin Ingram, Axar Patel, Kagiso Rabada, Sandeep Lamichhane, Amit Mishra, Ishant Sharma","Royal Challengers Bangalore (Playing XI): Parthiv Patel(w), Virat Kohli(c), AB de Villiers, Marcus Stoinis, Heinrich Klaasen, Shivam Dube, Gurkeerat Singh Mann, Washington Sundar, Navdeep Saini, Umesh Yadav, Yuzvendra Chahal",,,IPL,2019,"Arun Jaitley Stadium,Delhi","Apr 28,2019",Delhi Capitals have won the toss and have opted to bat,Delhi Capitals won by 16 runs,Shikhar Dhawan,DC,bat,DC,RCB,Rutherford, Navdeep Saini,6,0,Full,off side,point,,,
19.5," Navdeep Saini to Axar, 1 run, full and outside off, Axar slices the loft towards sweeper cover ",1st Inns,46t,Delhi Capitals,Royal Challengers Bangalore,"Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Shreyas Iyer(c), Rishabh Pant(w), Sherfane Rutherford, Colin Ingram, Axar Patel, Kagiso Rabada, Sandeep Lamichhane, Amit Mishra, Ishant Sharma","Royal Challengers Bangalore (Playing XI): Parthiv Patel(w), Virat Kohli(c), AB de Villiers, Marcus Stoinis, Heinrich Klaasen, Shivam Dube, Gurkeerat Singh Mann, Washington Sundar, Navdeep Saini, Umesh Yadav, Yuzvendra Chahal",,,IPL,2019,"Arun Jaitley Stadium,Delhi","Apr 28,2019",Delhi Capitals have won the toss and have opted to bat,Delhi Capitals won by 16 runs,Shikhar Dhawan,DC,bat,DC,RCB,Axar, Navdeep Saini,1,0,Full,off side,sweeper,,,
19.4," Navdeep Saini to Axar, FOUR, these runs will be hurting Bangalore. Saini is just spearing them in and missing the yorkers, another full toss and Axar looks to heave it to the leg-side, the leading edge balloons over short third man ",1st Inns,46t,Delhi Capitals,Royal Challengers Bangalore,"Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Shreyas Iyer(c), Rishabh Pant(w), Sherfane Rutherford, Colin Ingram, Axar Patel, Kagiso Rabada, Sandeep Lamichhane, Amit Mishra, Ishant Sharma","Royal Challengers Bangalore (Playing XI): Parthiv Patel(w), Virat Kohli(c), AB de Villiers, Marcus Stoinis, Heinrich Klaasen, Shivam Dube, Gurkeerat Singh Mann, Washington Sundar, Navdeep Saini, Umesh Yadav, Yuzvendra Chahal",,,IPL,2019,"Arun Jaitley Stadium,Delhi","Apr 28,2019",Delhi Capitals have won the toss and have opted to bat,Delhi Capitals won by 16 runs,Shikhar Dhawan,DC,bat,DC,RCB,Axar, Navdeep Saini,4,0,yorker,,short third man,edge,,
19.3," Navdeep Saini to Rutherford, 1 run, another full toss that is just below the waist, Rutherford mistimes it to long-on ",1st Inns,46t,Delhi Capitals,Royal Challengers Bangalore,"Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Shreyas Iyer(c), Rishabh Pant(w), Sherfane Rutherford, Colin Ingram, Axar Patel, Kagiso Rabada, Sandeep Lamichhane, Amit Mishra, Ishant Sharma","Royal Challengers Bangalore (Playing XI): Parthiv Patel(w), Virat Kohli(c), AB de Villiers, Marcus Stoinis, Heinrich Klaasen, Shivam Dube, Gurkeerat Singh Mann, Washington Sundar, Navdeep Saini, Umesh Yadav, Yuzvendra Chahal",,,IPL,2019,"Arun Jaitley Stadium,Delhi","Apr 28,2019",Delhi Capitals have won the toss and have opted to bat,Delhi Capitals won by 16 runs,Shikhar Dhawan,DC,bat,DC,RCB,Rutherford, Navdeep Saini,1,0,Full,,long-on,,,
19.2," Navdeep Saini to Rutherford, FOUR, edged and four! This is where Saini needs to learn. He bowls a pacy yorker outside off and Rutherford squirts an outside edge past Parthiv Patel. He has to take pace off on this slower surface ",1st Inns,46t,Delhi Capitals,Royal Challengers Bangalore,"Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Shreyas Iyer(c), Rishabh Pant(w), Sherfane Rutherford, Colin Ingram, Axar Patel, Kagiso Rabada, Sandeep Lamichhane, Amit Mishra, Ishant Sharma","Royal Challengers Bangalore (Playing XI): Parthiv Patel(w), Virat Kohli(c), AB de Villiers, Marcus Stoinis, Heinrich Klaasen, Shivam Dube, Gurkeerat Singh Mann, Washington Sundar, Navdeep Saini, Umesh Yadav, Yuzvendra Chahal",,,IPL,2019,"Arun Jaitley Stadium,Delhi","Apr 28,2019",Delhi Capitals have won the toss and have opted to bat,Delhi Capitals won by 16 runs,Shikhar Dhawan,DC,bat,DC,RCB,Rutherford, Navdeep Saini,4,0,yorker,off side,,edge,,
19.1," Navdeep Saini to Rutherford, byes, FOUR, high full toss outside off and Rutherford can't put bat on it. Poor Parthiv Patel has no chance as the ball bounces in front of him and races away to the fence. Rutherford asks for a possible no-ball but gets nothing from the umpires. It was around waist high and might have been given on another day ",1st Inns,46t,Delhi Capitals,Royal Challengers Bangalore,"Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Shreyas Iyer(c), Rishabh Pant(w), Sherfane Rutherford, Colin Ingram, Axar Patel, Kagiso Rabada, Sandeep Lamichhane, Amit Mishra, Ishant Sharma","Royal Challengers Bangalore (Playing XI): Parthiv Patel(w), Virat Kohli(c), AB de Villiers, Marcus Stoinis, Heinrich Klaasen, Shivam Dube, Gurkeerat Singh Mann, Washington Sundar, Navdeep Saini, Umesh Yadav, Yuzvendra Chahal",,,IPL,2019,"Arun Jaitley Stadium,Delhi","Apr 28,2019",Delhi Capitals have won the toss and have opted to bat,Delhi Capitals won by 16 runs,Shikhar Dhawan,DC,bat,DC,RCB,Rutherford, Navdeep Saini,byes,4,Full,off side,,,,
18.6," U Yadav to Axar, FOUR, 16 runs off the over and just what Delhi wanted. Umesh goes for the off-cutter, but he bowls it short and outside off, Axar slaps the punch through extra cover and Dube has no chance running across from sweeper cover ",1st Inns,46t,Delhi Capitals,Royal Challengers Bangalore,"Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Shreyas Iyer(c), Rishabh Pant(w), Sherfane Rutherford, Colin Ingram, Axar Patel, Kagiso Rabada, Sandeep Lamichhane, Amit Mishra, Ishant Sharma","Royal Challengers Bangalore (Playing XI): Parthiv Patel(w), Virat Kohli(c), AB de Villiers, Marcus Stoinis, Heinrich Klaasen, Shivam Dube, Gurkeerat Singh Mann, Washington Sundar, Navdeep Saini, Umesh Yadav, Yuzvendra Chahal",,,IPL,2019,"Arun Jaitley Stadium,Delhi","Apr 28,2019",Delhi Capitals have won the toss and have opted to bat,Delhi Capitals won by 16 runs,Shikhar Dhawan,DC,bat,DC,RCB,Axar, U Yadav,4,0,Short,off side,extra cover,cut shot,,
18.5," U Yadav to Rutherford, 1 run, cannot middle this heave and sends it along the ground to long-on ",1st Inns,46t,Delhi Capitals,Royal Challengers Bangalore,"Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Shreyas Iyer(c), Rishabh Pant(w), Sherfane Rutherford, Colin Ingram, Axar Patel, Kagiso Rabada, Sandeep Lamichhane, Amit Mishra, Ishant Sharma","Royal Challengers Bangalore (Playing XI): Parthiv Patel(w), Virat Kohli(c), AB de Villiers, Marcus Stoinis, Heinrich Klaasen, Shivam Dube, Gurkeerat Singh Mann, Washington Sundar, Navdeep Saini, Umesh Yadav, Yuzvendra Chahal",,,IPL,2019,"Arun Jaitley Stadium,Delhi","Apr 28,2019",Delhi Capitals have won the toss and have opted to bat,Delhi Capitals won by 16 runs,Shikhar Dhawan,DC,bat,DC,RCB,Rutherford, U Yadav,1,0,,,long-on,,,
18.4," U Yadav to Rutherford, SIX, he only deals in sixes by the looks of it. Length delivery right in the slot for Rutherford, he clears his front leg and smokes it into the Delhi dugout near cow corner. Iyer liked it in the dressing room ",1st Inns,46t,Delhi Capitals,Royal Challengers Bangalore,"Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Shreyas Iyer(c), Rishabh Pant(w), Sherfane Rutherford, Colin Ingram, Axar Patel, Kagiso Rabada, Sandeep Lamichhane, Amit Mishra, Ishant Sharma","Royal Challengers Bangalore (Playing XI): Parthiv Patel(w), Virat Kohli(c), AB de Villiers, Marcus Stoinis, Heinrich Klaasen, Shivam Dube, Gurkeerat Singh Mann, Washington Sundar, Navdeep Saini, Umesh Yadav, Yuzvendra Chahal",,,IPL,2019,"Arun Jaitley Stadium,Delhi","Apr 28,2019",Delhi Capitals have won the toss and have opted to bat,Delhi Capitals won by 16 runs,Shikhar Dhawan,DC,bat,DC,RCB,Rutherford, U Yadav,6,0,Good,,cow corner,,,
18.3," U Yadav to Axar, 1 run, slanted outside off, Axar cue-ends the square drive to the sweeper in the deep ",1st Inns,46t,Delhi Capitals,Royal Challengers Bangalore,"Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Shreyas Iyer(c), Rishabh Pant(w), Sherfane Rutherford, Colin Ingram, Axar Patel, Kagiso Rabada, Sandeep Lamichhane, Amit Mishra, Ishant Sharma","Royal Challengers Bangalore (Playing XI): Parthiv Patel(w), Virat Kohli(c), AB de Villiers, Marcus Stoinis, Heinrich Klaasen, Shivam Dube, Gurkeerat Singh Mann, Washington Sundar, Navdeep Saini, Umesh Yadav, Yuzvendra Chahal",,,IPL,2019,"Arun Jaitley Stadium,Delhi","Apr 28,2019",Delhi Capitals have won the toss and have opted to bat,Delhi Capitals won by 16 runs,Shikhar Dhawan,DC,bat,DC,RCB,Axar, U Yadav,1,0,,off side,square,square drive,,
