ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length,ball_line
18.6," Rajpoot to Hardik Pandya, 1 run, brings out the cutter, Hardik smartly plays it down to long-on to keep strike ",2nd Inns,7th,Mumbai Indians,Kolkata Knight Riders,"Mumbai Indians (Playing XI): Parthiv Patel(w), Jos Buttler, Rohit Sharma(c), Nitish Rana, Krunal Pandya, Kieron Pollard, Hardik Pandya, Harbhajan Singh, Lasith Malinga, Mitchell McClenaghan, Jasprit Bumrah","Kolkata Knight Riders (Playing XI): Gautam Gambhir(c), Chris Lynn, Robin Uthappa(w), Manish Pandey, Yusuf Pathan, Suryakumar Yadav, Chris Woakes, Kuldeep Yadav, Sunil Narine, Trent Boult, Ankit Rajpoot",,,IPL,2017,"Wankhede Stadium,Mumbai","Apr 09,2017",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 4 wkts,Nitish Rana,MI,field,MI,KKR,Hardik Pandya, Rajpoot,1,0,,
18.5," Rajpoot to Hardik Pandya, SIX, low full toss again and Hardik flogs it over square leg. He is 18 off 5. What a blinder! ",2nd Inns,7th,Mumbai Indians,Kolkata Knight Riders,"Mumbai Indians (Playing XI): Parthiv Patel(w), Jos Buttler, Rohit Sharma(c), Nitish Rana, Krunal Pandya, Kieron Pollard, Hardik Pandya, Harbhajan Singh, Lasith Malinga, Mitchell McClenaghan, Jasprit Bumrah","Kolkata Knight Riders (Playing XI): Gautam Gambhir(c), Chris Lynn, Robin Uthappa(w), Manish Pandey, Yusuf Pathan, Suryakumar Yadav, Chris Woakes, Kuldeep Yadav, Sunil Narine, Trent Boult, Ankit Rajpoot",,,IPL,2017,"Wankhede Stadium,Mumbai","Apr 09,2017",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 4 wkts,Nitish Rana,MI,field,MI,KKR,Hardik Pandya, Rajpoot,6,0,Full,
18.4," Rajpoot to Harbhajan, 1 run, nails the yorker on off, Harbhajan stays leg-side of it and squeezes it down to third man ",2nd Inns,7th,Mumbai Indians,Kolkata Knight Riders,"Mumbai Indians (Playing XI): Parthiv Patel(w), Jos Buttler, Rohit Sharma(c), Nitish Rana, Krunal Pandya, Kieron Pollard, Hardik Pandya, Harbhajan Singh, Lasith Malinga, Mitchell McClenaghan, Jasprit Bumrah","Kolkata Knight Riders (Playing XI): Gautam Gambhir(c), Chris Lynn, Robin Uthappa(w), Manish Pandey, Yusuf Pathan, Suryakumar Yadav, Chris Woakes, Kuldeep Yadav, Sunil Narine, Trent Boult, Ankit Rajpoot",,,IPL,2017,"Wankhede Stadium,Mumbai","Apr 09,2017",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 4 wkts,Nitish Rana,MI,field,MI,KKR,Harbhajan, Rajpoot,1,0,yorker,off side
18.3," Rajpoot to Nitish Rana, out Caught by Narine!! That roar from Rajpoot drowned the whole of Wankhede by itself. Rana backs away to a low full toss on middle and spears it straight to point. He had timed the pants off it but couldn't have found the fielder any better. His stunning innings comes to an end. Oh what a game! Nitish Rana c Narine b Rajpoot 50(29) [4s-5 6s-3] ",2nd Inns,7th,Mumbai Indians,Kolkata Knight Riders,"Mumbai Indians (Playing XI): Parthiv Patel(w), Jos Buttler, Rohit Sharma(c), Nitish Rana, Krunal Pandya, Kieron Pollard, Hardik Pandya, Harbhajan Singh, Lasith Malinga, Mitchell McClenaghan, Jasprit Bumrah","Kolkata Knight Riders (Playing XI): Gautam Gambhir(c), Chris Lynn, Robin Uthappa(w), Manish Pandey, Yusuf Pathan, Suryakumar Yadav, Chris Woakes, Kuldeep Yadav, Sunil Narine, Trent Boult, Ankit Rajpoot",,,IPL,2017,"Wankhede Stadium,Mumbai","Apr 09,2017",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 4 wkts,Nitish Rana,MI,field,MI,KKR,Nitish Rana, Rajpoot,out,out,Full,stump line
18.3," Rajpoot to Nitish Rana, wide, now when he nails the yorker, he's bowled it down leg. The nerves are jangling ",2nd Inns,7th,Mumbai Indians,Kolkata Knight Riders,"Mumbai Indians (Playing XI): Parthiv Patel(w), Jos Buttler, Rohit Sharma(c), Nitish Rana, Krunal Pandya, Kieron Pollard, Hardik Pandya, Harbhajan Singh, Lasith Malinga, Mitchell McClenaghan, Jasprit Bumrah","Kolkata Knight Riders (Playing XI): Gautam Gambhir(c), Chris Lynn, Robin Uthappa(w), Manish Pandey, Yusuf Pathan, Suryakumar Yadav, Chris Woakes, Kuldeep Yadav, Sunil Narine, Trent Boult, Ankit Rajpoot",,,IPL,2017,"Wankhede Stadium,Mumbai","Apr 09,2017",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 4 wkts,Nitish Rana,MI,field,MI,KKR,Nitish Rana, Rajpoot,wide,1,yorker,wide
18.2," Rajpoot to Nitish Rana, FOUR, full toss again and this time he lofts it over extra-cover. Although the timing isn't quite there, he just had to clear the fielder in the circle. No chance for the fielder running across from sweeper cover. It's fifty for Rana too. The crowd going bonkers ",2nd Inns,7th,Mumbai Indians,Kolkata Knight Riders,"Mumbai Indians (Playing XI): Parthiv Patel(w), Jos Buttler, Rohit Sharma(c), Nitish Rana, Krunal Pandya, Kieron Pollard, Hardik Pandya, Harbhajan Singh, Lasith Malinga, Mitchell McClenaghan, Jasprit Bumrah","Kolkata Knight Riders (Playing XI): Gautam Gambhir(c), Chris Lynn, Robin Uthappa(w), Manish Pandey, Yusuf Pathan, Suryakumar Yadav, Chris Woakes, Kuldeep Yadav, Sunil Narine, Trent Boult, Ankit Rajpoot",,,IPL,2017,"Wankhede Stadium,Mumbai","Apr 09,2017",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 4 wkts,Nitish Rana,MI,field,MI,KKR,Nitish Rana, Rajpoot,4,0,Full,
18.1," Rajpoot to Nitish Rana, SIX, lapped over the keeper for six! Thrilling stuff. Rana has stooped across and picked this full toss from middle-stump. It came right off the middle ",2nd Inns,7th,Mumbai Indians,Kolkata Knight Riders,"Mumbai Indians (Playing XI): Parthiv Patel(w), Jos Buttler, Rohit Sharma(c), Nitish Rana, Krunal Pandya, Kieron Pollard, Hardik Pandya, Harbhajan Singh, Lasith Malinga, Mitchell McClenaghan, Jasprit Bumrah","Kolkata Knight Riders (Playing XI): Gautam Gambhir(c), Chris Lynn, Robin Uthappa(w), Manish Pandey, Yusuf Pathan, Suryakumar Yadav, Chris Woakes, Kuldeep Yadav, Sunil Narine, Trent Boult, Ankit Rajpoot",,,IPL,2017,"Wankhede Stadium,Mumbai","Apr 09,2017",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 4 wkts,Nitish Rana,MI,field,MI,KKR,Nitish Rana, Rajpoot,6,0,Full,
17.6,"Boult to Hardik Pandya, SIX, length from Boult and it disappears way back over mid-wicket. The MI dugout is on its feet. What a blow from Pandya. But this is ordinary death bowling. Seam-up and good length, right there in the slot",2nd Inns,7th,Mumbai Indians,Kolkata Knight Riders,"Mumbai Indians (Playing XI): Parthiv Patel(w), Jos Buttler, Rohit Sharma(c), Nitish Rana, Krunal Pandya, Kieron Pollard, Hardik Pandya, Harbhajan Singh, Lasith Malinga, Mitchell McClenaghan, Jasprit Bumrah","Kolkata Knight Riders (Playing XI): Gautam Gambhir(c), Chris Lynn, Robin Uthappa(w), Manish Pandey, Yusuf Pathan, Suryakumar Yadav, Chris Woakes, Kuldeep Yadav, Sunil Narine, Trent Boult, Ankit Rajpoot",,,IPL,2017,"Wankhede Stadium,Mumbai","Apr 09,2017",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 4 wkts,Nitish Rana,MI,field,MI,KKR,Hardik Pandya,Boult,6,0,Good,
17.5," Boult to Nitish Rana, 1 run, well bowled. A smart leg-cutter, rolling his fingers over the top of the ball and getting some extra bounce. It hits Rana high on the bat and he mistimes the heave to deep mid-wicket ",2nd Inns,7th,Mumbai Indians,Kolkata Knight Riders,"Mumbai Indians (Playing XI): Parthiv Patel(w), Jos Buttler, Rohit Sharma(c), Nitish Rana, Krunal Pandya, Kieron Pollard, Hardik Pandya, Harbhajan Singh, Lasith Malinga, Mitchell McClenaghan, Jasprit Bumrah","Kolkata Knight Riders (Playing XI): Gautam Gambhir(c), Chris Lynn, Robin Uthappa(w), Manish Pandey, Yusuf Pathan, Suryakumar Yadav, Chris Woakes, Kuldeep Yadav, Sunil Narine, Trent Boult, Ankit Rajpoot",,,IPL,2017,"Wankhede Stadium,Mumbai","Apr 09,2017",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 4 wkts,Nitish Rana,MI,field,MI,KKR,Nitish Rana, Boult,1,0,,
17.4," Boult to Nitish Rana, SIX, 10 off 2 balls. This game isn't over yet. Not while Rana is there. Boult is struggling to execute the yorker. He delivered a low full toss last ball, now a proper full toss at the stumps. Rana picks it away effortless over long leg ",2nd Inns,7th,Mumbai Indians,Kolkata Knight Riders,"Mumbai Indians (Playing XI): Parthiv Patel(w), Jos Buttler, Rohit Sharma(c), Nitish Rana, Krunal Pandya, Kieron Pollard, Hardik Pandya, Harbhajan Singh, Lasith Malinga, Mitchell McClenaghan, Jasprit Bumrah","Kolkata Knight Riders (Playing XI): Gautam Gambhir(c), Chris Lynn, Robin Uthappa(w), Manish Pandey, Yusuf Pathan, Suryakumar Yadav, Chris Woakes, Kuldeep Yadav, Sunil Narine, Trent Boult, Ankit Rajpoot",,,IPL,2017,"Wankhede Stadium,Mumbai","Apr 09,2017",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 4 wkts,Nitish Rana,MI,field,MI,KKR,Nitish Rana, Boult,6,0,yorker,stump line
17.3," Boult to Nitish Rana, FOUR, brilliant timing! Low full toss wide of off, Rana reaches out and slices it past backward point. It skimmed off the bat ",2nd Inns,7th,Mumbai Indians,Kolkata Knight Riders,"Mumbai Indians (Playing XI): Parthiv Patel(w), Jos Buttler, Rohit Sharma(c), Nitish Rana, Krunal Pandya, Kieron Pollard, Hardik Pandya, Harbhajan Singh, Lasith Malinga, Mitchell McClenaghan, Jasprit Bumrah","Kolkata Knight Riders (Playing XI): Gautam Gambhir(c), Chris Lynn, Robin Uthappa(w), Manish Pandey, Yusuf Pathan, Suryakumar Yadav, Chris Woakes, Kuldeep Yadav, Sunil Narine, Trent Boult, Ankit Rajpoot",,,IPL,2017,"Wankhede Stadium,Mumbai","Apr 09,2017",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 4 wkts,Nitish Rana,MI,field,MI,KKR,Nitish Rana, Boult,4,0,Full,wide
17.2,"Boult to Hardik Pandya, 1 run, it's a length ball but it's a wide length ball and Pandya drags it through mid-wicket off the inside half. Premeditated slog across the line not working",2nd Inns,7th,Mumbai Indians,Kolkata Knight Riders,"Mumbai Indians (Playing XI): Parthiv Patel(w), Jos Buttler, Rohit Sharma(c), Nitish Rana, Krunal Pandya, Kieron Pollard, Hardik Pandya, Harbhajan Singh, Lasith Malinga, Mitchell McClenaghan, Jasprit Bumrah","Kolkata Knight Riders (Playing XI): Gautam Gambhir(c), Chris Lynn, Robin Uthappa(w), Manish Pandey, Yusuf Pathan, Suryakumar Yadav, Chris Woakes, Kuldeep Yadav, Sunil Narine, Trent Boult, Ankit Rajpoot",,,IPL,2017,"Wankhede Stadium,Mumbai","Apr 09,2017",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 4 wkts,Nitish Rana,MI,field,MI,KKR,Hardik Pandya,Boult,1,0,Good,wide
17.1," Boult to Nitish Rana, leg byes, 1 run, oh dear, he's missed a full toss. A little bit of bat on it and it would have run away. Instead, it slants in and hits him on the thigh. Would have gone down leg, so no appeal ",2nd Inns,7th,Mumbai Indians,Kolkata Knight Riders,"Mumbai Indians (Playing XI): Parthiv Patel(w), Jos Buttler, Rohit Sharma(c), Nitish Rana, Krunal Pandya, Kieron Pollard, Hardik Pandya, Harbhajan Singh, Lasith Malinga, Mitchell McClenaghan, Jasprit Bumrah","Kolkata Knight Riders (Playing XI): Gautam Gambhir(c), Chris Lynn, Robin Uthappa(w), Manish Pandey, Yusuf Pathan, Suryakumar Yadav, Chris Woakes, Kuldeep Yadav, Sunil Narine, Trent Boult, Ankit Rajpoot",,,IPL,2017,"Wankhede Stadium,Mumbai","Apr 09,2017",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 4 wkts,Nitish Rana,MI,field,MI,KKR,Nitish Rana, Boult,byes,1,Full,
16.6," Woakes to Hardik Pandya, FOUR, that's been absolutely spanked through extra-cover. The ball has left a vapour trail. Short and wide from Woakes, Pandya smokes it while backing away ",2nd Inns,7th,Mumbai Indians,Kolkata Knight Riders,"Mumbai Indians (Playing XI): Parthiv Patel(w), Jos Buttler, Rohit Sharma(c), Nitish Rana, Krunal Pandya, Kieron Pollard, Hardik Pandya, Harbhajan Singh, Lasith Malinga, Mitchell McClenaghan, Jasprit Bumrah","Kolkata Knight Riders (Playing XI): Gautam Gambhir(c), Chris Lynn, Robin Uthappa(w), Manish Pandey, Yusuf Pathan, Suryakumar Yadav, Chris Woakes, Kuldeep Yadav, Sunil Narine, Trent Boult, Ankit Rajpoot",,,IPL,2017,"Wankhede Stadium,Mumbai","Apr 09,2017",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 4 wkts,Nitish Rana,MI,field,MI,KKR,Hardik Pandya, Woakes,4,0,Short,wide
16.5," Woakes to Nitish Rana, 1 run, Woakes botches a run-out opportunity! He just had to collect the ball cleanly. Rana was well short. Rana couldn't find any elevation as he tried to flat-bat the back of length delivery and he hit it straight to mid-off. Never a run there, but the non-striker had come a long way down so Rana obliged. Would have been gone ",2nd Inns,7th,Mumbai Indians,Kolkata Knight Riders,"Mumbai Indians (Playing XI): Parthiv Patel(w), Jos Buttler, Rohit Sharma(c), Nitish Rana, Krunal Pandya, Kieron Pollard, Hardik Pandya, Harbhajan Singh, Lasith Malinga, Mitchell McClenaghan, Jasprit Bumrah","Kolkata Knight Riders (Playing XI): Gautam Gambhir(c), Chris Lynn, Robin Uthappa(w), Manish Pandey, Yusuf Pathan, Suryakumar Yadav, Chris Woakes, Kuldeep Yadav, Sunil Narine, Trent Boult, Ankit Rajpoot",,,IPL,2017,"Wankhede Stadium,Mumbai","Apr 09,2017",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 4 wkts,Nitish Rana,MI,field,MI,KKR,Nitish Rana, Woakes,1,0,Short,
16.4," Woakes to Nitish Rana, FOUR, moves away from the line of the short of length off-cutter, creates some room and flays it away over extra-cover. Rana keeping Mumbai afloat ",2nd Inns,7th,Mumbai Indians,Kolkata Knight Riders,"Mumbai Indians (Playing XI): Parthiv Patel(w), Jos Buttler, Rohit Sharma(c), Nitish Rana, Krunal Pandya, Kieron Pollard, Hardik Pandya, Harbhajan Singh, Lasith Malinga, Mitchell McClenaghan, Jasprit Bumrah","Kolkata Knight Riders (Playing XI): Gautam Gambhir(c), Chris Lynn, Robin Uthappa(w), Manish Pandey, Yusuf Pathan, Suryakumar Yadav, Chris Woakes, Kuldeep Yadav, Sunil Narine, Trent Boult, Ankit Rajpoot",,,IPL,2017,"Wankhede Stadium,Mumbai","Apr 09,2017",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 4 wkts,Nitish Rana,MI,field,MI,KKR,Nitish Rana, Woakes,4,0,Short,
16.3," Woakes to Hardik Pandya, 1 run, short of length just outside off, chopped to extra-cover ",2nd Inns,7th,Mumbai Indians,Kolkata Knight Riders,"Mumbai Indians (Playing XI): Parthiv Patel(w), Jos Buttler, Rohit Sharma(c), Nitish Rana, Krunal Pandya, Kieron Pollard, Hardik Pandya, Harbhajan Singh, Lasith Malinga, Mitchell McClenaghan, Jasprit Bumrah","Kolkata Knight Riders (Playing XI): Gautam Gambhir(c), Chris Lynn, Robin Uthappa(w), Manish Pandey, Yusuf Pathan, Suryakumar Yadav, Chris Woakes, Kuldeep Yadav, Sunil Narine, Trent Boult, Ankit Rajpoot",,,IPL,2017,"Wankhede Stadium,Mumbai","Apr 09,2017",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 4 wkts,Nitish Rana,MI,field,MI,KKR,Hardik Pandya, Woakes,1,0,Short,off side
16.2," Woakes to Nitish Rana, 1 run, cuts his fingers across the off-cutter and gets a little grip from a short of length. The ball takes a thick edge as Rana slashes and drops on the bounce to third man ",2nd Inns,7th,Mumbai Indians,Kolkata Knight Riders,"Mumbai Indians (Playing XI): Parthiv Patel(w), Jos Buttler, Rohit Sharma(c), Nitish Rana, Krunal Pandya, Kieron Pollard, Hardik Pandya, Harbhajan Singh, Lasith Malinga, Mitchell McClenaghan, Jasprit Bumrah","Kolkata Knight Riders (Playing XI): Gautam Gambhir(c), Chris Lynn, Robin Uthappa(w), Manish Pandey, Yusuf Pathan, Suryakumar Yadav, Chris Woakes, Kuldeep Yadav, Sunil Narine, Trent Boult, Ankit Rajpoot",,,IPL,2017,"Wankhede Stadium,Mumbai","Apr 09,2017",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 4 wkts,Nitish Rana,MI,field,MI,KKR,Nitish Rana, Woakes,1,0,Short,
16.1," Woakes to Pollard, out Caught by (sub)Rishi Dhawan!! What a huge wicket right after the break. The major threat of Pollard is gone, and KKR will really back themselves now to seal this. Not sure if this was the plan, or Woakes just executed it incorrectly. He bowls it short and wide, Pollard throws his bat at and the top-edge flies down for a comfortable catch to third man. Massive moment. Pollard c (sub)Rishi Dhawan b Woakes 17(17) [4s-1 6s-1] ",2nd Inns,7th,Mumbai Indians,Kolkata Knight Riders,"Mumbai Indians (Playing XI): Parthiv Patel(w), Jos Buttler, Rohit Sharma(c), Nitish Rana, Krunal Pandya, Kieron Pollard, Hardik Pandya, Harbhajan Singh, Lasith Malinga, Mitchell McClenaghan, Jasprit Bumrah","Kolkata Knight Riders (Playing XI): Gautam Gambhir(c), Chris Lynn, Robin Uthappa(w), Manish Pandey, Yusuf Pathan, Suryakumar Yadav, Chris Woakes, Kuldeep Yadav, Sunil Narine, Trent Boult, Ankit Rajpoot",,,IPL,2017,"Wankhede Stadium,Mumbai","Apr 09,2017",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 4 wkts,Nitish Rana,MI,field,MI,KKR,Pollard, Woakes,out,out,Short,wide
15.6," Narine to Nitish Rana, no run, goes for a slog-sweep but misses. What an over from Narine. Just four singles off it. He's pushed that required rate to 15. Big pressure on Mumbai now ",2nd Inns,7th,Mumbai Indians,Kolkata Knight Riders,"Mumbai Indians (Playing XI): Parthiv Patel(w), Jos Buttler, Rohit Sharma(c), Nitish Rana, Krunal Pandya, Kieron Pollard, Hardik Pandya, Harbhajan Singh, Lasith Malinga, Mitchell McClenaghan, Jasprit Bumrah","Kolkata Knight Riders (Playing XI): Gautam Gambhir(c), Chris Lynn, Robin Uthappa(w), Manish Pandey, Yusuf Pathan, Suryakumar Yadav, Chris Woakes, Kuldeep Yadav, Sunil Narine, Trent Boult, Ankit Rajpoot",,,IPL,2017,"Wankhede Stadium,Mumbai","Apr 09,2017",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 4 wkts,Nitish Rana,MI,field,MI,KKR,Nitish Rana, Narine,0,0,,
15.5," Narine to Pollard, 1 run, another miscue from the batsman. Only a single to deep mid-wicket ",2nd Inns,7th,Mumbai Indians,Kolkata Knight Riders,"Mumbai Indians (Playing XI): Parthiv Patel(w), Jos Buttler, Rohit Sharma(c), Nitish Rana, Krunal Pandya, Kieron Pollard, Hardik Pandya, Harbhajan Singh, Lasith Malinga, Mitchell McClenaghan, Jasprit Bumrah","Kolkata Knight Riders (Playing XI): Gautam Gambhir(c), Chris Lynn, Robin Uthappa(w), Manish Pandey, Yusuf Pathan, Suryakumar Yadav, Chris Woakes, Kuldeep Yadav, Sunil Narine, Trent Boult, Ankit Rajpoot",,,IPL,2017,"Wankhede Stadium,Mumbai","Apr 09,2017",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 4 wkts,Nitish Rana,MI,field,MI,KKR,Pollard, Narine,1,0,,
15.4," Narine to Pollard, no run, he's bowling well here. Pollard comes down again and he pulls the length back, Pollard somehow reaches out and glances to short fine ",2nd Inns,7th,Mumbai Indians,Kolkata Knight Riders,"Mumbai Indians (Playing XI): Parthiv Patel(w), Jos Buttler, Rohit Sharma(c), Nitish Rana, Krunal Pandya, Kieron Pollard, Hardik Pandya, Harbhajan Singh, Lasith Malinga, Mitchell McClenaghan, Jasprit Bumrah","Kolkata Knight Riders (Playing XI): Gautam Gambhir(c), Chris Lynn, Robin Uthappa(w), Manish Pandey, Yusuf Pathan, Suryakumar Yadav, Chris Woakes, Kuldeep Yadav, Sunil Narine, Trent Boult, Ankit Rajpoot",,,IPL,2017,"Wankhede Stadium,Mumbai","Apr 09,2017",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 4 wkts,Nitish Rana,MI,field,MI,KKR,Pollard, Narine,0,0,Short,
15.3,"Narine to Nitish Rana, 1 run, Woakes does really well to get his body behind the ball. It was a tricky one as he initially went for the catch from deep square leg but realized that the ball was bouncing well short. A miscue from Rana off the slog-sweep",2nd Inns,7th,Mumbai Indians,Kolkata Knight Riders,"Mumbai Indians (Playing XI): Parthiv Patel(w), Jos Buttler, Rohit Sharma(c), Nitish Rana, Krunal Pandya, Kieron Pollard, Hardik Pandya, Harbhajan Singh, Lasith Malinga, Mitchell McClenaghan, Jasprit Bumrah","Kolkata Knight Riders (Playing XI): Gautam Gambhir(c), Chris Lynn, Robin Uthappa(w), Manish Pandey, Yusuf Pathan, Suryakumar Yadav, Chris Woakes, Kuldeep Yadav, Sunil Narine, Trent Boult, Ankit Rajpoot",,,IPL,2017,"Wankhede Stadium,Mumbai","Apr 09,2017",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 4 wkts,Nitish Rana,MI,field,MI,KKR,Nitish Rana,Narine,1,0,Short,
15.2," Narine to Pollard, 1 run, oh he saw him coming there. Might even have been a seam-up from Narine. Absolutely fired it in and nearly yorked Pollard who is somehow able to jam it back down to long-on ",2nd Inns,7th,Mumbai Indians,Kolkata Knight Riders,"Mumbai Indians (Playing XI): Parthiv Patel(w), Jos Buttler, Rohit Sharma(c), Nitish Rana, Krunal Pandya, Kieron Pollard, Hardik Pandya, Harbhajan Singh, Lasith Malinga, Mitchell McClenaghan, Jasprit Bumrah","Kolkata Knight Riders (Playing XI): Gautam Gambhir(c), Chris Lynn, Robin Uthappa(w), Manish Pandey, Yusuf Pathan, Suryakumar Yadav, Chris Woakes, Kuldeep Yadav, Sunil Narine, Trent Boult, Ankit Rajpoot",,,IPL,2017,"Wankhede Stadium,Mumbai","Apr 09,2017",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 4 wkts,Nitish Rana,MI,field,MI,KKR,Pollard, Narine,1,0,,
15.1," Narine to Nitish Rana, 1 run, darts the off-spinner on leg-stump, Rana works it through mid-wicket ",2nd Inns,7th,Mumbai Indians,Kolkata Knight Riders,"Mumbai Indians (Playing XI): Parthiv Patel(w), Jos Buttler, Rohit Sharma(c), Nitish Rana, Krunal Pandya, Kieron Pollard, Hardik Pandya, Harbhajan Singh, Lasith Malinga, Mitchell McClenaghan, Jasprit Bumrah","Kolkata Knight Riders (Playing XI): Gautam Gambhir(c), Chris Lynn, Robin Uthappa(w), Manish Pandey, Yusuf Pathan, Suryakumar Yadav, Chris Woakes, Kuldeep Yadav, Sunil Narine, Trent Boult, Ankit Rajpoot",,,IPL,2017,"Wankhede Stadium,Mumbai","Apr 09,2017",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 4 wkts,Nitish Rana,MI,field,MI,KKR,Nitish Rana, Narine,1,0,,leg side
14.6," Woakes to Pollard, no run, big swing and a miss. Clever line from Woakes to keep it well outside off. Even someone with Pollard's wing-span fails to reach out. It's well within the wide guideline too ",2nd Inns,7th,Mumbai Indians,Kolkata Knight Riders,"Mumbai Indians (Playing XI): Parthiv Patel(w), Jos Buttler, Rohit Sharma(c), Nitish Rana, Krunal Pandya, Kieron Pollard, Hardik Pandya, Harbhajan Singh, Lasith Malinga, Mitchell McClenaghan, Jasprit Bumrah","Kolkata Knight Riders (Playing XI): Gautam Gambhir(c), Chris Lynn, Robin Uthappa(w), Manish Pandey, Yusuf Pathan, Suryakumar Yadav, Chris Woakes, Kuldeep Yadav, Sunil Narine, Trent Boult, Ankit Rajpoot",,,IPL,2017,"Wankhede Stadium,Mumbai","Apr 09,2017",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 4 wkts,Nitish Rana,MI,field,MI,KKR,Pollard, Woakes,0,0,,off side
14.5," Woakes to Nitish Rana, 1 run, doesn't get hold of it. The ball was right in the slot to be clobbered but Rana miscues it down to long-on ",2nd Inns,7th,Mumbai Indians,Kolkata Knight Riders,"Mumbai Indians (Playing XI): Parthiv Patel(w), Jos Buttler, Rohit Sharma(c), Nitish Rana, Krunal Pandya, Kieron Pollard, Hardik Pandya, Harbhajan Singh, Lasith Malinga, Mitchell McClenaghan, Jasprit Bumrah","Kolkata Knight Riders (Playing XI): Gautam Gambhir(c), Chris Lynn, Robin Uthappa(w), Manish Pandey, Yusuf Pathan, Suryakumar Yadav, Chris Woakes, Kuldeep Yadav, Sunil Narine, Trent Boult, Ankit Rajpoot",,,IPL,2017,"Wankhede Stadium,Mumbai","Apr 09,2017",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 4 wkts,Nitish Rana,MI,field,MI,KKR,Nitish Rana, Woakes,1,0,Slot,
14.4," Woakes to Nitish Rana, no run, that's gone a long way off the thigh pad. Skiddy back of a length delivery on leg, Rana is beaten by the skid on the ball and is late on the slog. The ball pops up straight to short fine leg. No appeal from KKR ",2nd Inns,7th,Mumbai Indians,Kolkata Knight Riders,"Mumbai Indians (Playing XI): Parthiv Patel(w), Jos Buttler, Rohit Sharma(c), Nitish Rana, Krunal Pandya, Kieron Pollard, Hardik Pandya, Harbhajan Singh, Lasith Malinga, Mitchell McClenaghan, Jasprit Bumrah","Kolkata Knight Riders (Playing XI): Gautam Gambhir(c), Chris Lynn, Robin Uthappa(w), Manish Pandey, Yusuf Pathan, Suryakumar Yadav, Chris Woakes, Kuldeep Yadav, Sunil Narine, Trent Boult, Ankit Rajpoot",,,IPL,2017,"Wankhede Stadium,Mumbai","Apr 09,2017",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 4 wkts,Nitish Rana,MI,field,MI,KKR,Nitish Rana, Woakes,0,0,Back of Length,leg side
14.3," Woakes to Pollard, 1 run, length ball at the stumps, Pollard bunts it down the ground to long-on ",2nd Inns,7th,Mumbai Indians,Kolkata Knight Riders,"Mumbai Indians (Playing XI): Parthiv Patel(w), Jos Buttler, Rohit Sharma(c), Nitish Rana, Krunal Pandya, Kieron Pollard, Hardik Pandya, Harbhajan Singh, Lasith Malinga, Mitchell McClenaghan, Jasprit Bumrah","Kolkata Knight Riders (Playing XI): Gautam Gambhir(c), Chris Lynn, Robin Uthappa(w), Manish Pandey, Yusuf Pathan, Suryakumar Yadav, Chris Woakes, Kuldeep Yadav, Sunil Narine, Trent Boult, Ankit Rajpoot",,,IPL,2017,"Wankhede Stadium,Mumbai","Apr 09,2017",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 4 wkts,Nitish Rana,MI,field,MI,KKR,Pollard, Woakes,1,0,Good,stump line
