ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length,ball_line,ball_destination
19.6,"Aravind to Dhoni, 2 runs, fuller and wider, lovely drive through extra cover. There is protection in the deep though",1st Inns,34t,Rising Pune Supergiant,Royal Challengers Bangalore,"Rising Pune Supergiant (Playing XI): Ajinkya Rahane, Rahul Tripathi, Steven Smith(c), MS Dhoni(w), Manoj Tiwary, Daniel Christian, Washington Sundar, Deepak Chahar, Jaydev Unadkat, Lockie Ferguson, Imran Tahir","Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Travis Head, AB de Villiers, Kedar Jadhav(w), Sachin Baby, Stuart Binny, Pawan Negi, Samuel Badree, Adam Milne, Sreenath Aravind, Yuzvendra Chahal",,,IPL,2017,"Maharashtra Cricket Association Stadium,Pune","Apr 29,2017",Royal Challengers Bangalore have won the toss and have opted to field,Rising Pune Supergiant won by 61 runs,Lockie Ferguson,RCB,field,RPS,RCB,Dhoni,Aravind,2,0,Full,wide,extra cover
19.5," Aravind to Manoj Tiwary, 1 run, whips and chips it in the air, no-one at square leg. Will only get a single ",1st Inns,34t,Rising Pune Supergiant,Royal Challengers Bangalore,"Rising Pune Supergiant (Playing XI): Ajinkya Rahane, Rahul Tripathi, Steven Smith(c), MS Dhoni(w), Manoj Tiwary, Daniel Christian, Washington Sundar, Deepak Chahar, Jaydev Unadkat, Lockie Ferguson, Imran Tahir","Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Travis Head, AB de Villiers, Kedar Jadhav(w), Sachin Baby, Stuart Binny, Pawan Negi, Samuel Badree, Adam Milne, Sreenath Aravind, Yuzvendra Chahal",,,IPL,2017,"Maharashtra Cricket Association Stadium,Pune","Apr 29,2017",Royal Challengers Bangalore have won the toss and have opted to field,Rising Pune Supergiant won by 61 runs,Lockie Ferguson,RCB,field,RPS,RCB,Manoj Tiwary, Aravind,1,0,,,square leg
19.4,"Aravind to Manoj Tiwary, FOUR, jumps down the pitch and looks to mow across the line. The bat face turns on impact and the leading edge runs wide of a diving short third. Much-needed boundary that",1st Inns,34t,Rising Pune Supergiant,Royal Challengers Bangalore,"Rising Pune Supergiant (Playing XI): Ajinkya Rahane, Rahul Tripathi, Steven Smith(c), MS Dhoni(w), Manoj Tiwary, Daniel Christian, Washington Sundar, Deepak Chahar, Jaydev Unadkat, Lockie Ferguson, Imran Tahir","Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Travis Head, AB de Villiers, Kedar Jadhav(w), Sachin Baby, Stuart Binny, Pawan Negi, Samuel Badree, Adam Milne, Sreenath Aravind, Yuzvendra Chahal",,,IPL,2017,"Maharashtra Cricket Association Stadium,Pune","Apr 29,2017",Royal Challengers Bangalore have won the toss and have opted to field,Rising Pune Supergiant won by 61 runs,Lockie Ferguson,RCB,field,RPS,RCB,Manoj Tiwary,Aravind,4,0,Short,wide,down the pitch
19.3," Aravind to Dhoni, 1 run, right on the money, the yorker. Nutmegs Dhoni as he looks to flick, may have got a big inside edge on that one ",1st Inns,34t,Rising Pune Supergiant,Royal Challengers Bangalore,"Rising Pune Supergiant (Playing XI): Ajinkya Rahane, Rahul Tripathi, Steven Smith(c), MS Dhoni(w), Manoj Tiwary, Daniel Christian, Washington Sundar, Deepak Chahar, Jaydev Unadkat, Lockie Ferguson, Imran Tahir","Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Travis Head, AB de Villiers, Kedar Jadhav(w), Sachin Baby, Stuart Binny, Pawan Negi, Samuel Badree, Adam Milne, Sreenath Aravind, Yuzvendra Chahal",,,IPL,2017,"Maharashtra Cricket Association Stadium,Pune","Apr 29,2017",Royal Challengers Bangalore have won the toss and have opted to field,Rising Pune Supergiant won by 61 runs,Lockie Ferguson,RCB,field,RPS,RCB,Dhoni, Aravind,1,0,yorker,,
19.2," Aravind to Manoj Tiwary, 1 run, puts every ounce of his energy into the drive, will only manage a single wide of cover sweeper ",1st Inns,34t,Rising Pune Supergiant,Royal Challengers Bangalore,"Rising Pune Supergiant (Playing XI): Ajinkya Rahane, Rahul Tripathi, Steven Smith(c), MS Dhoni(w), Manoj Tiwary, Daniel Christian, Washington Sundar, Deepak Chahar, Jaydev Unadkat, Lockie Ferguson, Imran Tahir","Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Travis Head, AB de Villiers, Kedar Jadhav(w), Sachin Baby, Stuart Binny, Pawan Negi, Samuel Badree, Adam Milne, Sreenath Aravind, Yuzvendra Chahal",,,IPL,2017,"Maharashtra Cricket Association Stadium,Pune","Apr 29,2017",Royal Challengers Bangalore have won the toss and have opted to field,Rising Pune Supergiant won by 61 runs,Lockie Ferguson,RCB,field,RPS,RCB,Manoj Tiwary, Aravind,1,0,,wide,cover
19.1,"Aravind to Dhoni, leg byes, 1 run, off-cutter, Dhoni makes no connection. It hits him high on the pad and rolls close to the stumps, Aravind races forward and kicks the ball to run Dhoni out. Wasn't to be. Concedes an overthrow instead",1st Inns,34t,Rising Pune Supergiant,Royal Challengers Bangalore,"Rising Pune Supergiant (Playing XI): Ajinkya Rahane, Rahul Tripathi, Steven Smith(c), MS Dhoni(w), Manoj Tiwary, Daniel Christian, Washington Sundar, Deepak Chahar, Jaydev Unadkat, Lockie Ferguson, Imran Tahir","Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Travis Head, AB de Villiers, Kedar Jadhav(w), Sachin Baby, Stuart Binny, Pawan Negi, Samuel Badree, Adam Milne, Sreenath Aravind, Yuzvendra Chahal",,,IPL,2017,"Maharashtra Cricket Association Stadium,Pune","Apr 29,2017",Royal Challengers Bangalore have won the toss and have opted to field,Rising Pune Supergiant won by 61 runs,Lockie Ferguson,RCB,field,RPS,RCB,Dhoni,Aravind,byes,1,,stump line,
18.6," Milne to Manoj Tiwary, 2 runs, swings again. More in hope this time. Posts it in the vacant mid-wicket area and comes sprinting back to complete the second ",1st Inns,34t,Rising Pune Supergiant,Royal Challengers Bangalore,"Rising Pune Supergiant (Playing XI): Ajinkya Rahane, Rahul Tripathi, Steven Smith(c), MS Dhoni(w), Manoj Tiwary, Daniel Christian, Washington Sundar, Deepak Chahar, Jaydev Unadkat, Lockie Ferguson, Imran Tahir","Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Travis Head, AB de Villiers, Kedar Jadhav(w), Sachin Baby, Stuart Binny, Pawan Negi, Samuel Badree, Adam Milne, Sreenath Aravind, Yuzvendra Chahal",,,IPL,2017,"Maharashtra Cricket Association Stadium,Pune","Apr 29,2017",Royal Challengers Bangalore have won the toss and have opted to field,Rising Pune Supergiant won by 61 runs,Lockie Ferguson,RCB,field,RPS,RCB,Manoj Tiwary, Milne,2,0,,,mid-wicket
18.5," Milne to Manoj Tiwary, no run, looked like the legspinner, puts lot of revs on the delivery and succeeds in defeating Tiwary's ugly swish across the line ",1st Inns,34t,Rising Pune Supergiant,Royal Challengers Bangalore,"Rising Pune Supergiant (Playing XI): Ajinkya Rahane, Rahul Tripathi, Steven Smith(c), MS Dhoni(w), Manoj Tiwary, Daniel Christian, Washington Sundar, Deepak Chahar, Jaydev Unadkat, Lockie Ferguson, Imran Tahir","Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Travis Head, AB de Villiers, Kedar Jadhav(w), Sachin Baby, Stuart Binny, Pawan Negi, Samuel Badree, Adam Milne, Sreenath Aravind, Yuzvendra Chahal",,,IPL,2017,"Maharashtra Cricket Association Stadium,Pune","Apr 29,2017",Royal Challengers Bangalore have won the toss and have opted to field,Rising Pune Supergiant won by 61 runs,Lockie Ferguson,RCB,field,RPS,RCB,Manoj Tiwary, Milne,0,0,,,
18.4," Milne to Manoj Tiwary, FOUR, streaky but Tiwary won't mind. The Chineese cut as they say. Full, dipping in around the blockhole area, Tiwary flashes hard and a smidge of inside edge does the trick for him. Skims past the leg-stump and rushes down to the fine leg fence ",1st Inns,34t,Rising Pune Supergiant,Royal Challengers Bangalore,"Rising Pune Supergiant (Playing XI): Ajinkya Rahane, Rahul Tripathi, Steven Smith(c), MS Dhoni(w), Manoj Tiwary, Daniel Christian, Washington Sundar, Deepak Chahar, Jaydev Unadkat, Lockie Ferguson, Imran Tahir","Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Travis Head, AB de Villiers, Kedar Jadhav(w), Sachin Baby, Stuart Binny, Pawan Negi, Samuel Badree, Adam Milne, Sreenath Aravind, Yuzvendra Chahal",,,IPL,2017,"Maharashtra Cricket Association Stadium,Pune","Apr 29,2017",Royal Challengers Bangalore have won the toss and have opted to field,Rising Pune Supergiant won by 61 runs,Lockie Ferguson,RCB,field,RPS,RCB,Manoj Tiwary, Milne,4,0,Full,,fine leg
18.3," Milne to Manoj Tiwary, no run, no pace again, sneaks under Tiwary's inside-edge as he swings a week early ",1st Inns,34t,Rising Pune Supergiant,Royal Challengers Bangalore,"Rising Pune Supergiant (Playing XI): Ajinkya Rahane, Rahul Tripathi, Steven Smith(c), MS Dhoni(w), Manoj Tiwary, Daniel Christian, Washington Sundar, Deepak Chahar, Jaydev Unadkat, Lockie Ferguson, Imran Tahir","Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Travis Head, AB de Villiers, Kedar Jadhav(w), Sachin Baby, Stuart Binny, Pawan Negi, Samuel Badree, Adam Milne, Sreenath Aravind, Yuzvendra Chahal",,,IPL,2017,"Maharashtra Cricket Association Stadium,Pune","Apr 29,2017",Royal Challengers Bangalore have won the toss and have opted to field,Rising Pune Supergiant won by 61 runs,Lockie Ferguson,RCB,field,RPS,RCB,Manoj Tiwary, Milne,0,0,,,
