ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length,ball_line,ball_destination
19.6,"Jadeja to Kedar Jadhav, no run, caps off the over with a precious dot but still leaks 17 runs in the over. Fires it quick and full outside off, Jadhav backed away to leg and couldn't quite reach there",1st Inns,20t,Gujarat Lions,Royal Challengers Bangalore,"Gujarat Lions (Playing XI): Dwayne Smith, Brendon McCullum, Suresh Raina(c), Aaron Finch, Ishan Kishan, Dinesh Karthik(w), Ravindra Jadeja, Andrew Tye, Dhawal Kulkarni, Basil Thampi, Shivil Koushik","Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Chris Gayle, Mandeep Singh, Travis Head, Kedar Jadhav(w), Shane Watson, Stuart Binny, Pawan Negi, Adam Milne, Sreenath Aravind, Yuzvendra Chahal",,,IPL,2017,"Saurashtra Cricket Association Stadium,Rajkot","Apr 18,2017",Gujarat Lions have won the toss and have opted to field,Royal Challengers Bangalore won by 21 runs,Chris Gayle,GL,field,RCB,GL,Kedar Jadhav,Jadeja,0,0,Full,off side,
19.5,"Jadeja to Kedar Jadhav, FOUR, goes the round-armish way but dishes out it outside off, Jadhav lunges across and lofts it over cover. Sort of played a short-arm jab there",1st Inns,20t,Gujarat Lions,Royal Challengers Bangalore,"Gujarat Lions (Playing XI): Dwayne Smith, Brendon McCullum, Suresh Raina(c), Aaron Finch, Ishan Kishan, Dinesh Karthik(w), Ravindra Jadeja, Andrew Tye, Dhawal Kulkarni, Basil Thampi, Shivil Koushik","Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Chris Gayle, Mandeep Singh, Travis Head, Kedar Jadhav(w), Shane Watson, Stuart Binny, Pawan Negi, Adam Milne, Sreenath Aravind, Yuzvendra Chahal",,,IPL,2017,"Saurashtra Cricket Association Stadium,Rajkot","Apr 18,2017",Gujarat Lions have won the toss and have opted to field,Royal Challengers Bangalore won by 21 runs,Chris Gayle,GL,field,RCB,GL,Kedar Jadhav,Jadeja,4,0,Short,off side,cover
19.4," Jadeja to Kedar Jadhav, SIX, oh dear! Jadeja fails to get his landing right and bowls it in the arc for Jadhav. Gets dumped over long-on, effortless from Jadhav ",1st Inns,20t,Gujarat Lions,Royal Challengers Bangalore,"Gujarat Lions (Playing XI): Dwayne Smith, Brendon McCullum, Suresh Raina(c), Aaron Finch, Ishan Kishan, Dinesh Karthik(w), Ravindra Jadeja, Andrew Tye, Dhawal Kulkarni, Basil Thampi, Shivil Koushik","Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Chris Gayle, Mandeep Singh, Travis Head, Kedar Jadhav(w), Shane Watson, Stuart Binny, Pawan Negi, Adam Milne, Sreenath Aravind, Yuzvendra Chahal",,,IPL,2017,"Saurashtra Cricket Association Stadium,Rajkot","Apr 18,2017",Gujarat Lions have won the toss and have opted to field,Royal Challengers Bangalore won by 21 runs,Chris Gayle,GL,field,RCB,GL,Kedar Jadhav, Jadeja,6,0,,,long-on
19.3," Jadeja to Kedar Jadhav, FOUR, 200-up for RCB. Magnificent shot from Jadhav. Engineers room by backing away to leg and lifts it over cover-point. The ball has enough legs to reach the fence ",1st Inns,20t,Gujarat Lions,Royal Challengers Bangalore,"Gujarat Lions (Playing XI): Dwayne Smith, Brendon McCullum, Suresh Raina(c), Aaron Finch, Ishan Kishan, Dinesh Karthik(w), Ravindra Jadeja, Andrew Tye, Dhawal Kulkarni, Basil Thampi, Shivil Koushik","Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Chris Gayle, Mandeep Singh, Travis Head, Kedar Jadhav(w), Shane Watson, Stuart Binny, Pawan Negi, Adam Milne, Sreenath Aravind, Yuzvendra Chahal",,,IPL,2017,"Saurashtra Cricket Association Stadium,Rajkot","Apr 18,2017",Gujarat Lions have won the toss and have opted to field,Royal Challengers Bangalore won by 21 runs,Chris Gayle,GL,field,RCB,GL,Kedar Jadhav, Jadeja,4,0,,,cover
19.2," Jadeja to Head, 1 run, quicker again, biffed to long-off ",1st Inns,20t,Gujarat Lions,Royal Challengers Bangalore,"Gujarat Lions (Playing XI): Dwayne Smith, Brendon McCullum, Suresh Raina(c), Aaron Finch, Ishan Kishan, Dinesh Karthik(w), Ravindra Jadeja, Andrew Tye, Dhawal Kulkarni, Basil Thampi, Shivil Koushik","Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Chris Gayle, Mandeep Singh, Travis Head, Kedar Jadhav(w), Shane Watson, Stuart Binny, Pawan Negi, Adam Milne, Sreenath Aravind, Yuzvendra Chahal",,,IPL,2017,"Saurashtra Cricket Association Stadium,Rajkot","Apr 18,2017",Gujarat Lions have won the toss and have opted to field,Royal Challengers Bangalore won by 21 runs,Chris Gayle,GL,field,RCB,GL,Head, Jadeja,1,0,,,long-off
19.1," Jadeja to Head, 2 runs, hurls it full outside off, Head smacks it down the ground, Finch sprints from long-off and cuts it off. Almost made a mess of it, but somehow does well to save a couple of runs ",1st Inns,20t,Gujarat Lions,Royal Challengers Bangalore,"Gujarat Lions (Playing XI): Dwayne Smith, Brendon McCullum, Suresh Raina(c), Aaron Finch, Ishan Kishan, Dinesh Karthik(w), Ravindra Jadeja, Andrew Tye, Dhawal Kulkarni, Basil Thampi, Shivil Koushik","Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Chris Gayle, Mandeep Singh, Travis Head, Kedar Jadhav(w), Shane Watson, Stuart Binny, Pawan Negi, Adam Milne, Sreenath Aravind, Yuzvendra Chahal",,,IPL,2017,"Saurashtra Cricket Association Stadium,Rajkot","Apr 18,2017",Gujarat Lions have won the toss and have opted to field,Royal Challengers Bangalore won by 21 runs,Chris Gayle,GL,field,RCB,GL,Head, Jadeja,2,0,Full,off side,long-off
18.6," Andrew Tye to Kedar Jadhav, 2 runs, dropped. Hard chance though since he was in his followthrough. Looked like the knuckle ball, Jadhav played it too early, gets a leading edge that popped back to Tye, who leapt with both hands outstretched. Can't cling onto the offering. Parries it towards long-off and they will steal a brace ",1st Inns,20t,Gujarat Lions,Royal Challengers Bangalore,"Gujarat Lions (Playing XI): Dwayne Smith, Brendon McCullum, Suresh Raina(c), Aaron Finch, Ishan Kishan, Dinesh Karthik(w), Ravindra Jadeja, Andrew Tye, Dhawal Kulkarni, Basil Thampi, Shivil Koushik","Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Chris Gayle, Mandeep Singh, Travis Head, Kedar Jadhav(w), Shane Watson, Stuart Binny, Pawan Negi, Adam Milne, Sreenath Aravind, Yuzvendra Chahal",,,IPL,2017,"Saurashtra Cricket Association Stadium,Rajkot","Apr 18,2017",Gujarat Lions have won the toss and have opted to field,Royal Challengers Bangalore won by 21 runs,Chris Gayle,GL,field,RCB,GL,Kedar Jadhav, Andrew Tye,2,0,,,long-off
18.5," Andrew Tye to Kedar Jadhav, FOUR, drops it short and pays the price. Jadhav takes a step forward, takes on this short ball and short-arm pulls it over square leg. One bounce and over the fence ",1st Inns,20t,Gujarat Lions,Royal Challengers Bangalore,"Gujarat Lions (Playing XI): Dwayne Smith, Brendon McCullum, Suresh Raina(c), Aaron Finch, Ishan Kishan, Dinesh Karthik(w), Ravindra Jadeja, Andrew Tye, Dhawal Kulkarni, Basil Thampi, Shivil Koushik","Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Chris Gayle, Mandeep Singh, Travis Head, Kedar Jadhav(w), Shane Watson, Stuart Binny, Pawan Negi, Adam Milne, Sreenath Aravind, Yuzvendra Chahal",,,IPL,2017,"Saurashtra Cricket Association Stadium,Rajkot","Apr 18,2017",Gujarat Lions have won the toss and have opted to field,Royal Challengers Bangalore won by 21 runs,Chris Gayle,GL,field,RCB,GL,Kedar Jadhav, Andrew Tye,4,0,Short,,square leg
18.4," Andrew Tye to Kedar Jadhav, no run, excellent from Tye. Yorker just outside off, Jadhav fails to squeeze it out ",1st Inns,20t,Gujarat Lions,Royal Challengers Bangalore,"Gujarat Lions (Playing XI): Dwayne Smith, Brendon McCullum, Suresh Raina(c), Aaron Finch, Ishan Kishan, Dinesh Karthik(w), Ravindra Jadeja, Andrew Tye, Dhawal Kulkarni, Basil Thampi, Shivil Koushik","Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Chris Gayle, Mandeep Singh, Travis Head, Kedar Jadhav(w), Shane Watson, Stuart Binny, Pawan Negi, Adam Milne, Sreenath Aravind, Yuzvendra Chahal",,,IPL,2017,"Saurashtra Cricket Association Stadium,Rajkot","Apr 18,2017",Gujarat Lions have won the toss and have opted to field,Royal Challengers Bangalore won by 21 runs,Chris Gayle,GL,field,RCB,GL,Kedar Jadhav, Andrew Tye,0,0,yorker,off side,
18.3," Andrew Tye to Kedar Jadhav, 2 runs, very full this time, Jadhav manipulates it into the on-side, runs hard and gets a brace ",1st Inns,20t,Gujarat Lions,Royal Challengers Bangalore,"Gujarat Lions (Playing XI): Dwayne Smith, Brendon McCullum, Suresh Raina(c), Aaron Finch, Ishan Kishan, Dinesh Karthik(w), Ravindra Jadeja, Andrew Tye, Dhawal Kulkarni, Basil Thampi, Shivil Koushik","Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Chris Gayle, Mandeep Singh, Travis Head, Kedar Jadhav(w), Shane Watson, Stuart Binny, Pawan Negi, Adam Milne, Sreenath Aravind, Yuzvendra Chahal",,,IPL,2017,"Saurashtra Cricket Association Stadium,Rajkot","Apr 18,2017",Gujarat Lions have won the toss and have opted to field,Royal Challengers Bangalore won by 21 runs,Chris Gayle,GL,field,RCB,GL,Kedar Jadhav, Andrew Tye,2,0,Full,,
18.2," Andrew Tye to Kedar Jadhav, FOUR, 10 off first two. fabulous shot. Sets up a solid base, extends his arms and lifts it over extra cover ",1st Inns,20t,Gujarat Lions,Royal Challengers Bangalore,"Gujarat Lions (Playing XI): Dwayne Smith, Brendon McCullum, Suresh Raina(c), Aaron Finch, Ishan Kishan, Dinesh Karthik(w), Ravindra Jadeja, Andrew Tye, Dhawal Kulkarni, Basil Thampi, Shivil Koushik","Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Chris Gayle, Mandeep Singh, Travis Head, Kedar Jadhav(w), Shane Watson, Stuart Binny, Pawan Negi, Adam Milne, Sreenath Aravind, Yuzvendra Chahal",,,IPL,2017,"Saurashtra Cricket Association Stadium,Rajkot","Apr 18,2017",Gujarat Lions have won the toss and have opted to field,Royal Challengers Bangalore won by 21 runs,Chris Gayle,GL,field,RCB,GL,Kedar Jadhav, Andrew Tye,4,0,,,extra cover
18.1," Andrew Tye to Kedar Jadhav, SIX, the pocket-rocket launches his missile. Saw what was coming maybe, picks the knuckle ball by advancing down the track and deposits over long-on ",1st Inns,20t,Gujarat Lions,Royal Challengers Bangalore,"Gujarat Lions (Playing XI): Dwayne Smith, Brendon McCullum, Suresh Raina(c), Aaron Finch, Ishan Kishan, Dinesh Karthik(w), Ravindra Jadeja, Andrew Tye, Dhawal Kulkarni, Basil Thampi, Shivil Koushik","Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Chris Gayle, Mandeep Singh, Travis Head, Kedar Jadhav(w), Shane Watson, Stuart Binny, Pawan Negi, Adam Milne, Sreenath Aravind, Yuzvendra Chahal",,,IPL,2017,"Saurashtra Cricket Association Stadium,Rajkot","Apr 18,2017",Gujarat Lions have won the toss and have opted to field,Royal Challengers Bangalore won by 21 runs,Chris Gayle,GL,field,RCB,GL,Kedar Jadhav, Andrew Tye,6,0,,,long-on
17.6," Basil Thampi to Head, 2 runs, rolls his fingers across on this one, Head flat-bats it down the ground. Easy two. He's come back well after the first two balls ",1st Inns,20t,Gujarat Lions,Royal Challengers Bangalore,"Gujarat Lions (Playing XI): Dwayne Smith, Brendon McCullum, Suresh Raina(c), Aaron Finch, Ishan Kishan, Dinesh Karthik(w), Ravindra Jadeja, Andrew Tye, Dhawal Kulkarni, Basil Thampi, Shivil Koushik","Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Chris Gayle, Mandeep Singh, Travis Head, Kedar Jadhav(w), Shane Watson, Stuart Binny, Pawan Negi, Adam Milne, Sreenath Aravind, Yuzvendra Chahal",,,IPL,2017,"Saurashtra Cricket Association Stadium,Rajkot","Apr 18,2017",Gujarat Lions have won the toss and have opted to field,Royal Challengers Bangalore won by 21 runs,Chris Gayle,GL,field,RCB,GL,Head, Basil Thampi,2,0,,,
17.5," Basil Thampi to Head, 2 runs, fullish outside off, Head drills it wide of long-off, Baz moves to his right and keeps the pair down to a couple ",1st Inns,20t,Gujarat Lions,Royal Challengers Bangalore,"Gujarat Lions (Playing XI): Dwayne Smith, Brendon McCullum, Suresh Raina(c), Aaron Finch, Ishan Kishan, Dinesh Karthik(w), Ravindra Jadeja, Andrew Tye, Dhawal Kulkarni, Basil Thampi, Shivil Koushik","Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Chris Gayle, Mandeep Singh, Travis Head, Kedar Jadhav(w), Shane Watson, Stuart Binny, Pawan Negi, Adam Milne, Sreenath Aravind, Yuzvendra Chahal",,,IPL,2017,"Saurashtra Cricket Association Stadium,Rajkot","Apr 18,2017",Gujarat Lions have won the toss and have opted to field,Royal Challengers Bangalore won by 21 runs,Chris Gayle,GL,field,RCB,GL,Head, Basil Thampi,2,0,Full,off side,long-off
17.4," Basil Thampi to Head, no run, switches to over the wicket and lasers a low full toss on off, spanked straight to extra cover ",1st Inns,20t,Gujarat Lions,Royal Challengers Bangalore,"Gujarat Lions (Playing XI): Dwayne Smith, Brendon McCullum, Suresh Raina(c), Aaron Finch, Ishan Kishan, Dinesh Karthik(w), Ravindra Jadeja, Andrew Tye, Dhawal Kulkarni, Basil Thampi, Shivil Koushik","Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Chris Gayle, Mandeep Singh, Travis Head, Kedar Jadhav(w), Shane Watson, Stuart Binny, Pawan Negi, Adam Milne, Sreenath Aravind, Yuzvendra Chahal",,,IPL,2017,"Saurashtra Cricket Association Stadium,Rajkot","Apr 18,2017",Gujarat Lions have won the toss and have opted to field,Royal Challengers Bangalore won by 21 runs,Chris Gayle,GL,field,RCB,GL,Head, Basil Thampi,0,0,Full,off side,straight
17.3," Basil Thampi to Head, no run, better from Thampi. Rifles it full and wide of off, Head swings and misses ",1st Inns,20t,Gujarat Lions,Royal Challengers Bangalore,"Gujarat Lions (Playing XI): Dwayne Smith, Brendon McCullum, Suresh Raina(c), Aaron Finch, Ishan Kishan, Dinesh Karthik(w), Ravindra Jadeja, Andrew Tye, Dhawal Kulkarni, Basil Thampi, Shivil Koushik","Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Chris Gayle, Mandeep Singh, Travis Head, Kedar Jadhav(w), Shane Watson, Stuart Binny, Pawan Negi, Adam Milne, Sreenath Aravind, Yuzvendra Chahal",,,IPL,2017,"Saurashtra Cricket Association Stadium,Rajkot","Apr 18,2017",Gujarat Lions have won the toss and have opted to field,Royal Challengers Bangalore won by 21 runs,Chris Gayle,GL,field,RCB,GL,Head, Basil Thampi,0,0,Full,wide,
17.2," Basil Thampi to Head, FOUR, Head is cutting loose here. Gets under this full ball outside off and thumps it over extra cover ",1st Inns,20t,Gujarat Lions,Royal Challengers Bangalore,"Gujarat Lions (Playing XI): Dwayne Smith, Brendon McCullum, Suresh Raina(c), Aaron Finch, Ishan Kishan, Dinesh Karthik(w), Ravindra Jadeja, Andrew Tye, Dhawal Kulkarni, Basil Thampi, Shivil Koushik","Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Chris Gayle, Mandeep Singh, Travis Head, Kedar Jadhav(w), Shane Watson, Stuart Binny, Pawan Negi, Adam Milne, Sreenath Aravind, Yuzvendra Chahal",,,IPL,2017,"Saurashtra Cricket Association Stadium,Rajkot","Apr 18,2017",Gujarat Lions have won the toss and have opted to field,Royal Challengers Bangalore won by 21 runs,Chris Gayle,GL,field,RCB,GL,Head, Basil Thampi,4,0,Full,off side,extra cover
17.1," Basil Thampi to Head, FOUR, too predictable. The slower ones, I meant. This was on shortish length outside off, Head deals it with alacrity, fetches the pull from outside off and nails it in front of square ",1st Inns,20t,Gujarat Lions,Royal Challengers Bangalore,"Gujarat Lions (Playing XI): Dwayne Smith, Brendon McCullum, Suresh Raina(c), Aaron Finch, Ishan Kishan, Dinesh Karthik(w), Ravindra Jadeja, Andrew Tye, Dhawal Kulkarni, Basil Thampi, Shivil Koushik","Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Chris Gayle, Mandeep Singh, Travis Head, Kedar Jadhav(w), Shane Watson, Stuart Binny, Pawan Negi, Adam Milne, Sreenath Aravind, Yuzvendra Chahal",,,IPL,2017,"Saurashtra Cricket Association Stadium,Rajkot","Apr 18,2017",Gujarat Lions have won the toss and have opted to field,Royal Challengers Bangalore won by 21 runs,Chris Gayle,GL,field,RCB,GL,Head, Basil Thampi,4,0,Short,off side,square
16.6," Andrew Tye to Kedar Jadhav, no run, wow. A dot to finish the over. Slips in a slow ball again, Jadhav isn't picking those. Has a wild heave and comes up with zilch ",1st Inns,20t,Gujarat Lions,Royal Challengers Bangalore,"Gujarat Lions (Playing XI): Dwayne Smith, Brendon McCullum, Suresh Raina(c), Aaron Finch, Ishan Kishan, Dinesh Karthik(w), Ravindra Jadeja, Andrew Tye, Dhawal Kulkarni, Basil Thampi, Shivil Koushik","Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Chris Gayle, Mandeep Singh, Travis Head, Kedar Jadhav(w), Shane Watson, Stuart Binny, Pawan Negi, Adam Milne, Sreenath Aravind, Yuzvendra Chahal",,,IPL,2017,"Saurashtra Cricket Association Stadium,Rajkot","Apr 18,2017",Gujarat Lions have won the toss and have opted to field,Royal Challengers Bangalore won by 21 runs,Chris Gayle,GL,field,RCB,GL,Kedar Jadhav, Andrew Tye,0,0,,,
16.5," Andrew Tye to Kedar Jadhav, no run, top class bowling from Tye. Fires in a yorker on off, all Jadhav could do was squeeze it down the pitch ",1st Inns,20t,Gujarat Lions,Royal Challengers Bangalore,"Gujarat Lions (Playing XI): Dwayne Smith, Brendon McCullum, Suresh Raina(c), Aaron Finch, Ishan Kishan, Dinesh Karthik(w), Ravindra Jadeja, Andrew Tye, Dhawal Kulkarni, Basil Thampi, Shivil Koushik","Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Chris Gayle, Mandeep Singh, Travis Head, Kedar Jadhav(w), Shane Watson, Stuart Binny, Pawan Negi, Adam Milne, Sreenath Aravind, Yuzvendra Chahal",,,IPL,2017,"Saurashtra Cricket Association Stadium,Rajkot","Apr 18,2017",Gujarat Lions have won the toss and have opted to field,Royal Challengers Bangalore won by 21 runs,Chris Gayle,GL,field,RCB,GL,Kedar Jadhav, Andrew Tye,0,0,yorker,off side,down the pitch
16.4," Andrew Tye to Kedar Jadhav, no run, dot. Again wafts that slower ball that dips very late. Fools Jadhav as he threw his bat at it. Can't lay any bat on that ",1st Inns,20t,Gujarat Lions,Royal Challengers Bangalore,"Gujarat Lions (Playing XI): Dwayne Smith, Brendon McCullum, Suresh Raina(c), Aaron Finch, Ishan Kishan, Dinesh Karthik(w), Ravindra Jadeja, Andrew Tye, Dhawal Kulkarni, Basil Thampi, Shivil Koushik","Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Chris Gayle, Mandeep Singh, Travis Head, Kedar Jadhav(w), Shane Watson, Stuart Binny, Pawan Negi, Adam Milne, Sreenath Aravind, Yuzvendra Chahal",,,IPL,2017,"Saurashtra Cricket Association Stadium,Rajkot","Apr 18,2017",Gujarat Lions have won the toss and have opted to field,Royal Challengers Bangalore won by 21 runs,Chris Gayle,GL,field,RCB,GL,Kedar Jadhav, Andrew Tye,0,0,,,
16.3," Andrew Tye to Head, 1 run, loopy ball outside off, Head crouched low and had a waft at it. The ball dipped and as a result, catches the inside edge that trickles away to the on-side ",1st Inns,20t,Gujarat Lions,Royal Challengers Bangalore,"Gujarat Lions (Playing XI): Dwayne Smith, Brendon McCullum, Suresh Raina(c), Aaron Finch, Ishan Kishan, Dinesh Karthik(w), Ravindra Jadeja, Andrew Tye, Dhawal Kulkarni, Basil Thampi, Shivil Koushik","Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Chris Gayle, Mandeep Singh, Travis Head, Kedar Jadhav(w), Shane Watson, Stuart Binny, Pawan Negi, Adam Milne, Sreenath Aravind, Yuzvendra Chahal",,,IPL,2017,"Saurashtra Cricket Association Stadium,Rajkot","Apr 18,2017",Gujarat Lions have won the toss and have opted to field,Royal Challengers Bangalore won by 21 runs,Chris Gayle,GL,field,RCB,GL,Head, Andrew Tye,1,0,,off side,
16.2," Andrew Tye to Kedar Jadhav, 1 run, angling in on middle, tucked away into the on-side ",1st Inns,20t,Gujarat Lions,Royal Challengers Bangalore,"Gujarat Lions (Playing XI): Dwayne Smith, Brendon McCullum, Suresh Raina(c), Aaron Finch, Ishan Kishan, Dinesh Karthik(w), Ravindra Jadeja, Andrew Tye, Dhawal Kulkarni, Basil Thampi, Shivil Koushik","Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Chris Gayle, Mandeep Singh, Travis Head, Kedar Jadhav(w), Shane Watson, Stuart Binny, Pawan Negi, Adam Milne, Sreenath Aravind, Yuzvendra Chahal",,,IPL,2017,"Saurashtra Cricket Association Stadium,Rajkot","Apr 18,2017",Gujarat Lions have won the toss and have opted to field,Royal Challengers Bangalore won by 21 runs,Chris Gayle,GL,field,RCB,GL,Kedar Jadhav, Andrew Tye,1,0,,stump line,
16.1," Andrew Tye to Kedar Jadhav, FOUR, how cheeky from Jadhav? Sees the full ball outside off, waits in his crease and lets his hands take over. Opens his bat face and dinks it in the pocket between short third man and point ",1st Inns,20t,Gujarat Lions,Royal Challengers Bangalore,"Gujarat Lions (Playing XI): Dwayne Smith, Brendon McCullum, Suresh Raina(c), Aaron Finch, Ishan Kishan, Dinesh Karthik(w), Ravindra Jadeja, Andrew Tye, Dhawal Kulkarni, Basil Thampi, Shivil Koushik","Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Chris Gayle, Mandeep Singh, Travis Head, Kedar Jadhav(w), Shane Watson, Stuart Binny, Pawan Negi, Adam Milne, Sreenath Aravind, Yuzvendra Chahal",,,IPL,2017,"Saurashtra Cricket Association Stadium,Rajkot","Apr 18,2017",Gujarat Lions have won the toss and have opted to field,Royal Challengers Bangalore won by 21 runs,Chris Gayle,GL,field,RCB,GL,Kedar Jadhav, Andrew Tye,4,0,Full,off side,short third man
15.6," D Kulkarni to Kedar Jadhav, 1 run, slower ball in loop, shortens his length outside off, Jadhav rides the bounce and punches it to sweeper cover ",1st Inns,20t,Gujarat Lions,Royal Challengers Bangalore,"Gujarat Lions (Playing XI): Dwayne Smith, Brendon McCullum, Suresh Raina(c), Aaron Finch, Ishan Kishan, Dinesh Karthik(w), Ravindra Jadeja, Andrew Tye, Dhawal Kulkarni, Basil Thampi, Shivil Koushik","Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Chris Gayle, Mandeep Singh, Travis Head, Kedar Jadhav(w), Shane Watson, Stuart Binny, Pawan Negi, Adam Milne, Sreenath Aravind, Yuzvendra Chahal",,,IPL,2017,"Saurashtra Cricket Association Stadium,Rajkot","Apr 18,2017",Gujarat Lions have won the toss and have opted to field,Royal Challengers Bangalore won by 21 runs,Chris Gayle,GL,field,RCB,GL,Kedar Jadhav, D Kulkarni,1,0,Short,off side,sweeper
15.5," D Kulkarni to Kohli, out Caught by Dwayne Smith!! The slower ball does the trick. Kulkarni gets his first wicket and prises out the big fish. Robs off all pace and hurls it on off, Kohli swung hard but had to generate some power to clear the fence. In the end, he sends it as far as deep mid-wicket, where Smith was waiting to snaffle that. Easy peasy for the West Indian. Kohli c Dwayne Smith b D Kulkarni 64(50) [4s-7 6s-1] ",1st Inns,20t,Gujarat Lions,Royal Challengers Bangalore,"Gujarat Lions (Playing XI): Dwayne Smith, Brendon McCullum, Suresh Raina(c), Aaron Finch, Ishan Kishan, Dinesh Karthik(w), Ravindra Jadeja, Andrew Tye, Dhawal Kulkarni, Basil Thampi, Shivil Koushik","Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Chris Gayle, Mandeep Singh, Travis Head, Kedar Jadhav(w), Shane Watson, Stuart Binny, Pawan Negi, Adam Milne, Sreenath Aravind, Yuzvendra Chahal",,,IPL,2017,"Saurashtra Cricket Association Stadium,Rajkot","Apr 18,2017",Gujarat Lions have won the toss and have opted to field,Royal Challengers Bangalore won by 21 runs,Chris Gayle,GL,field,RCB,GL,Kohli, D Kulkarni,out,out,,off side,mid-wicket
15.4," D Kulkarni to Kohli, 2 runs, curls in a low full toss on middle, whipped wide of long-on and hustles back for the second ",1st Inns,20t,Gujarat Lions,Royal Challengers Bangalore,"Gujarat Lions (Playing XI): Dwayne Smith, Brendon McCullum, Suresh Raina(c), Aaron Finch, Ishan Kishan, Dinesh Karthik(w), Ravindra Jadeja, Andrew Tye, Dhawal Kulkarni, Basil Thampi, Shivil Koushik","Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Chris Gayle, Mandeep Singh, Travis Head, Kedar Jadhav(w), Shane Watson, Stuart Binny, Pawan Negi, Adam Milne, Sreenath Aravind, Yuzvendra Chahal",,,IPL,2017,"Saurashtra Cricket Association Stadium,Rajkot","Apr 18,2017",Gujarat Lions have won the toss and have opted to field,Royal Challengers Bangalore won by 21 runs,Chris Gayle,GL,field,RCB,GL,Kohli, D Kulkarni,2,0,Full,stump line,long-on
15.3," D Kulkarni to Kohli, 2 runs, does it again, the slower short ball. Kohli was early into the pull, manages it squirt it off the cue-end into the on-side ",1st Inns,20t,Gujarat Lions,Royal Challengers Bangalore,"Gujarat Lions (Playing XI): Dwayne Smith, Brendon McCullum, Suresh Raina(c), Aaron Finch, Ishan Kishan, Dinesh Karthik(w), Ravindra Jadeja, Andrew Tye, Dhawal Kulkarni, Basil Thampi, Shivil Koushik","Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Chris Gayle, Mandeep Singh, Travis Head, Kedar Jadhav(w), Shane Watson, Stuart Binny, Pawan Negi, Adam Milne, Sreenath Aravind, Yuzvendra Chahal",,,IPL,2017,"Saurashtra Cricket Association Stadium,Rajkot","Apr 18,2017",Gujarat Lions have won the toss and have opted to field,Royal Challengers Bangalore won by 21 runs,Chris Gayle,GL,field,RCB,GL,Kohli, D Kulkarni,2,0,Short,,
15.2," D Kulkarni to Head, 1 run, rolls his fingers across on this short of length delivery, Head swished it across the line, gets an inside edge that rolls back towards DK, who darts forward and fired a throw at the stumps as they sneak in a single. Kohli is too quick, would've made his ground even if there was a direct-hit I reckon ",1st Inns,20t,Gujarat Lions,Royal Challengers Bangalore,"Gujarat Lions (Playing XI): Dwayne Smith, Brendon McCullum, Suresh Raina(c), Aaron Finch, Ishan Kishan, Dinesh Karthik(w), Ravindra Jadeja, Andrew Tye, Dhawal Kulkarni, Basil Thampi, Shivil Koushik","Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Chris Gayle, Mandeep Singh, Travis Head, Kedar Jadhav(w), Shane Watson, Stuart Binny, Pawan Negi, Adam Milne, Sreenath Aravind, Yuzvendra Chahal",,,IPL,2017,"Saurashtra Cricket Association Stadium,Rajkot","Apr 18,2017",Gujarat Lions have won the toss and have opted to field,Royal Challengers Bangalore won by 21 runs,Chris Gayle,GL,field,RCB,GL,Head, D Kulkarni,1,0,Short,stump line,
