ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length
19.6,"Jofra Archer to Pooran, SIX, swatted, too short from Archer and Pooran has swatted it away, cleared his right leg and thumped the pull over mid-wicket, went flat and hit the advertising board on the full. KXIP finish with a season high - 223 for 2",1st Inns,9th,Rajasthan Royals,Kings XI Punjab,"Rajasthan Royals (Playing XI): Steven Smith(c), Jos Buttler(w), Sanju Samson, Robin Uthappa, Rahul Tewatia, Riyan Parag, Tom Curran, Jofra Archer, Shreyas Gopal, Jaydev Unadkat, Ankit Rajpoot","Kings XI Punjab (Playing XI): Mayank Agarwal, Lokesh Rahul(w/c), Nicholas Pooran, Glenn Maxwell, Karun Nair, Sarfaraz Khan, James Neesham, Murugan Ashwin, Ravi Bishnoi, Mohammed Shami, Sheldon Cottrell",,,IPL,2020,"Sharjah Cricket Stadium,Sharjah","Sep 27,2020",Rajasthan Royals have won the toss and have opted to field,Rajasthan Royals won by 4 wkts,Sanju Samson,RR,field,PBKS,RR,Pooran,Jofra Archer,6,0,Short
19.5," Jofra Archer to Pooran, no run, good delivery from Archer, slips in the slower short ball and Pooran was way too early on the pull, missed it by a long way ",1st Inns,9th,Rajasthan Royals,Kings XI Punjab,"Rajasthan Royals (Playing XI): Steven Smith(c), Jos Buttler(w), Sanju Samson, Robin Uthappa, Rahul Tewatia, Riyan Parag, Tom Curran, Jofra Archer, Shreyas Gopal, Jaydev Unadkat, Ankit Rajpoot","Kings XI Punjab (Playing XI): Mayank Agarwal, Lokesh Rahul(w/c), Nicholas Pooran, Glenn Maxwell, Karun Nair, Sarfaraz Khan, James Neesham, Murugan Ashwin, Ravi Bishnoi, Mohammed Shami, Sheldon Cottrell",,,IPL,2020,"Sharjah Cricket Stadium,Sharjah","Sep 27,2020",Rajasthan Royals have won the toss and have opted to field,Rajasthan Royals won by 4 wkts,Sanju Samson,RR,field,PBKS,RR,Pooran, Jofra Archer,0,0,Good
19.4," Jofra Archer to Pooran, no run, on a good length and angling back into the left-hander, Pooran was early into the drive and mistimed it back at the bowler ",1st Inns,9th,Rajasthan Royals,Kings XI Punjab,"Rajasthan Royals (Playing XI): Steven Smith(c), Jos Buttler(w), Sanju Samson, Robin Uthappa, Rahul Tewatia, Riyan Parag, Tom Curran, Jofra Archer, Shreyas Gopal, Jaydev Unadkat, Ankit Rajpoot","Kings XI Punjab (Playing XI): Mayank Agarwal, Lokesh Rahul(w/c), Nicholas Pooran, Glenn Maxwell, Karun Nair, Sarfaraz Khan, James Neesham, Murugan Ashwin, Ravi Bishnoi, Mohammed Shami, Sheldon Cottrell",,,IPL,2020,"Sharjah Cricket Stadium,Sharjah","Sep 27,2020",Rajasthan Royals have won the toss and have opted to field,Rajasthan Royals won by 4 wkts,Sanju Samson,RR,field,PBKS,RR,Pooran, Jofra Archer,0,0,Good
19.3," Jofra Archer to Pooran, FOUR, a six and now a four, length delivery outside off, Pooran backs away and scythes the cut behind square on the off-side, no chance for anyone to stop it ",1st Inns,9th,Rajasthan Royals,Kings XI Punjab,"Rajasthan Royals (Playing XI): Steven Smith(c), Jos Buttler(w), Sanju Samson, Robin Uthappa, Rahul Tewatia, Riyan Parag, Tom Curran, Jofra Archer, Shreyas Gopal, Jaydev Unadkat, Ankit Rajpoot","Kings XI Punjab (Playing XI): Mayank Agarwal, Lokesh Rahul(w/c), Nicholas Pooran, Glenn Maxwell, Karun Nair, Sarfaraz Khan, James Neesham, Murugan Ashwin, Ravi Bishnoi, Mohammed Shami, Sheldon Cottrell",,,IPL,2020,"Sharjah Cricket Stadium,Sharjah","Sep 27,2020",Rajasthan Royals have won the toss and have opted to field,Rajasthan Royals won by 4 wkts,Sanju Samson,RR,field,PBKS,RR,Pooran, Jofra Archer,4,0,Good
19.2," Jofra Archer to Pooran, SIX, Pooran is putting on a big finish - once again he didn't look to have timed it, but had enough to clear long-off and by a long way - good length delivery and Archer disappears ",1st Inns,9th,Rajasthan Royals,Kings XI Punjab,"Rajasthan Royals (Playing XI): Steven Smith(c), Jos Buttler(w), Sanju Samson, Robin Uthappa, Rahul Tewatia, Riyan Parag, Tom Curran, Jofra Archer, Shreyas Gopal, Jaydev Unadkat, Ankit Rajpoot","Kings XI Punjab (Playing XI): Mayank Agarwal, Lokesh Rahul(w/c), Nicholas Pooran, Glenn Maxwell, Karun Nair, Sarfaraz Khan, James Neesham, Murugan Ashwin, Ravi Bishnoi, Mohammed Shami, Sheldon Cottrell",,,IPL,2020,"Sharjah Cricket Stadium,Sharjah","Sep 27,2020",Rajasthan Royals have won the toss and have opted to field,Rajasthan Royals won by 4 wkts,Sanju Samson,RR,field,PBKS,RR,Pooran, Jofra Archer,6,0,Good
19.1," Jofra Archer to Maxwell, 1 run, on a length and well wide of off, Maxwell is hurried onto the pull and mistimes it towards long-off ",1st Inns,9th,Rajasthan Royals,Kings XI Punjab,"Rajasthan Royals (Playing XI): Steven Smith(c), Jos Buttler(w), Sanju Samson, Robin Uthappa, Rahul Tewatia, Riyan Parag, Tom Curran, Jofra Archer, Shreyas Gopal, Jaydev Unadkat, Ankit Rajpoot","Kings XI Punjab (Playing XI): Mayank Agarwal, Lokesh Rahul(w/c), Nicholas Pooran, Glenn Maxwell, Karun Nair, Sarfaraz Khan, James Neesham, Murugan Ashwin, Ravi Bishnoi, Mohammed Shami, Sheldon Cottrell",,,IPL,2020,"Sharjah Cricket Stadium,Sharjah","Sep 27,2020",Rajasthan Royals have won the toss and have opted to field,Rajasthan Royals won by 4 wkts,Sanju Samson,RR,field,PBKS,RR,Maxwell, Jofra Archer,1,0,Good
19.1,"Jofra Archer to Maxwell, wide, that's a harsh call from the umpire, banged in short and angling down leg as Maxwell shuffled across on the pull,he missed and think the umpire wasn't in tune with the bowler either - look of dismay on Archer's face",1st Inns,9th,Rajasthan Royals,Kings XI Punjab,"Rajasthan Royals (Playing XI): Steven Smith(c), Jos Buttler(w), Sanju Samson, Robin Uthappa, Rahul Tewatia, Riyan Parag, Tom Curran, Jofra Archer, Shreyas Gopal, Jaydev Unadkat, Ankit Rajpoot","Kings XI Punjab (Playing XI): Mayank Agarwal, Lokesh Rahul(w/c), Nicholas Pooran, Glenn Maxwell, Karun Nair, Sarfaraz Khan, James Neesham, Murugan Ashwin, Ravi Bishnoi, Mohammed Shami, Sheldon Cottrell",,,IPL,2020,"Sharjah Cricket Stadium,Sharjah","Sep 27,2020",Rajasthan Royals have won the toss and have opted to field,Rajasthan Royals won by 4 wkts,Sanju Samson,RR,field,PBKS,RR,Maxwell,Jofra Archer,wide,1,Short
18.6,"Tom Curran to Pooran, 2 runs, that went high and into the night sky - and Uthappa has made a royal mess of it - was always going to be a tough catch, but he didn't even get in any position - Pooran got underneath the length delivery and popped it straight up - Uthappa has plenty of time to settle, but he didn't and ends up shelling it",1st Inns,9th,Rajasthan Royals,Kings XI Punjab,"Rajasthan Royals (Playing XI): Steven Smith(c), Jos Buttler(w), Sanju Samson, Robin Uthappa, Rahul Tewatia, Riyan Parag, Tom Curran, Jofra Archer, Shreyas Gopal, Jaydev Unadkat, Ankit Rajpoot","Kings XI Punjab (Playing XI): Mayank Agarwal, Lokesh Rahul(w/c), Nicholas Pooran, Glenn Maxwell, Karun Nair, Sarfaraz Khan, James Neesham, Murugan Ashwin, Ravi Bishnoi, Mohammed Shami, Sheldon Cottrell",,,IPL,2020,"Sharjah Cricket Stadium,Sharjah","Sep 27,2020",Rajasthan Royals have won the toss and have opted to field,Rajasthan Royals won by 4 wkts,Sanju Samson,RR,field,PBKS,RR,Pooran,Tom Curran,2,0,Good
18.5," Tom Curran to Pooran, SIX, hammered, Curran loses his line for once, the attempted yorker turns out to be a full-toss, heaved high and over mid-wicket for a maximum ",1st Inns,9th,Rajasthan Royals,Kings XI Punjab,"Rajasthan Royals (Playing XI): Steven Smith(c), Jos Buttler(w), Sanju Samson, Robin Uthappa, Rahul Tewatia, Riyan Parag, Tom Curran, Jofra Archer, Shreyas Gopal, Jaydev Unadkat, Ankit Rajpoot","Kings XI Punjab (Playing XI): Mayank Agarwal, Lokesh Rahul(w/c), Nicholas Pooran, Glenn Maxwell, Karun Nair, Sarfaraz Khan, James Neesham, Murugan Ashwin, Ravi Bishnoi, Mohammed Shami, Sheldon Cottrell",,,IPL,2020,"Sharjah Cricket Stadium,Sharjah","Sep 27,2020",Rajasthan Royals have won the toss and have opted to field,Rajasthan Royals won by 4 wkts,Sanju Samson,RR,field,PBKS,RR,Pooran, Tom Curran,6,0,yorker
18.4," Tom Curran to Maxwell, 1 run, another perfect delivery from Curran - finds the wide yorker and Maxwell can only jam it out towards cover ",1st Inns,9th,Rajasthan Royals,Kings XI Punjab,"Rajasthan Royals (Playing XI): Steven Smith(c), Jos Buttler(w), Sanju Samson, Robin Uthappa, Rahul Tewatia, Riyan Parag, Tom Curran, Jofra Archer, Shreyas Gopal, Jaydev Unadkat, Ankit Rajpoot","Kings XI Punjab (Playing XI): Mayank Agarwal, Lokesh Rahul(w/c), Nicholas Pooran, Glenn Maxwell, Karun Nair, Sarfaraz Khan, James Neesham, Murugan Ashwin, Ravi Bishnoi, Mohammed Shami, Sheldon Cottrell",,,IPL,2020,"Sharjah Cricket Stadium,Sharjah","Sep 27,2020",Rajasthan Royals have won the toss and have opted to field,Rajasthan Royals won by 4 wkts,Sanju Samson,RR,field,PBKS,RR,Maxwell, Tom Curran,1,0,yorker
18.3," Tom Curran to Maxwell, no run, RR are finishing well, and they are helped by some funky attempts by the batsmen - full and just outside off, Maxwell was looking to play the reverse scoop and missed ",1st Inns,9th,Rajasthan Royals,Kings XI Punjab,"Rajasthan Royals (Playing XI): Steven Smith(c), Jos Buttler(w), Sanju Samson, Robin Uthappa, Rahul Tewatia, Riyan Parag, Tom Curran, Jofra Archer, Shreyas Gopal, Jaydev Unadkat, Ankit Rajpoot","Kings XI Punjab (Playing XI): Mayank Agarwal, Lokesh Rahul(w/c), Nicholas Pooran, Glenn Maxwell, Karun Nair, Sarfaraz Khan, James Neesham, Murugan Ashwin, Ravi Bishnoi, Mohammed Shami, Sheldon Cottrell",,,IPL,2020,"Sharjah Cricket Stadium,Sharjah","Sep 27,2020",Rajasthan Royals have won the toss and have opted to field,Rajasthan Royals won by 4 wkts,Sanju Samson,RR,field,PBKS,RR,Maxwell, Tom Curran,0,0,Full
18.2,"Tom Curran to Pooran, 1 run, that will go down as a chance, but Curran did well to save himself - slower ball and Pooran drilled it right back at him - Curran was on his followthrough and pushed his hands in front as self-preservation - the ball hit his palms and rolled away towards mid-wicket",1st Inns,9th,Rajasthan Royals,Kings XI Punjab,"Rajasthan Royals (Playing XI): Steven Smith(c), Jos Buttler(w), Sanju Samson, Robin Uthappa, Rahul Tewatia, Riyan Parag, Tom Curran, Jofra Archer, Shreyas Gopal, Jaydev Unadkat, Ankit Rajpoot","Kings XI Punjab (Playing XI): Mayank Agarwal, Lokesh Rahul(w/c), Nicholas Pooran, Glenn Maxwell, Karun Nair, Sarfaraz Khan, James Neesham, Murugan Ashwin, Ravi Bishnoi, Mohammed Shami, Sheldon Cottrell",,,IPL,2020,"Sharjah Cricket Stadium,Sharjah","Sep 27,2020",Rajasthan Royals have won the toss and have opted to field,Rajasthan Royals won by 4 wkts,Sanju Samson,RR,field,PBKS,RR,Pooran,Tom Curran,1,0,
18.1," Tom Curran to Maxwell, 1 run, full-toss from Curran, Maxwell thumps it to the right of long-on, Smith gets across and ensures that they don't get back for the second ",1st Inns,9th,Rajasthan Royals,Kings XI Punjab,"Rajasthan Royals (Playing XI): Steven Smith(c), Jos Buttler(w), Sanju Samson, Robin Uthappa, Rahul Tewatia, Riyan Parag, Tom Curran, Jofra Archer, Shreyas Gopal, Jaydev Unadkat, Ankit Rajpoot","Kings XI Punjab (Playing XI): Mayank Agarwal, Lokesh Rahul(w/c), Nicholas Pooran, Glenn Maxwell, Karun Nair, Sarfaraz Khan, James Neesham, Murugan Ashwin, Ravi Bishnoi, Mohammed Shami, Sheldon Cottrell",,,IPL,2020,"Sharjah Cricket Stadium,Sharjah","Sep 27,2020",Rajasthan Royals have won the toss and have opted to field,Rajasthan Royals won by 4 wkts,Sanju Samson,RR,field,PBKS,RR,Maxwell, Tom Curran,1,0,Full toss
17.6,"Rajpoot to Rahul, out Caught by Shreyas Gopal!! A deserved wicket for Rajpoot - he has come back well after that initial hammering. RR are pulling things back a touch in the last three or four overs. This was full and wide of off, KL was looking to go over cover, swung his bat ferociously and only managed a thick slice. The ball travelled all the way to third man, Shreyas was under it, looked calm as he took it low and in front of him. Rahul c Shreyas Gopal b Rajpoot 69(54) [4s-7 6s-1]",1st Inns,9th,Rajasthan Royals,Kings XI Punjab,"Rajasthan Royals (Playing XI): Steven Smith(c), Jos Buttler(w), Sanju Samson, Robin Uthappa, Rahul Tewatia, Riyan Parag, Tom Curran, Jofra Archer, Shreyas Gopal, Jaydev Unadkat, Ankit Rajpoot","Kings XI Punjab (Playing XI): Mayank Agarwal, Lokesh Rahul(w/c), Nicholas Pooran, Glenn Maxwell, Karun Nair, Sarfaraz Khan, James Neesham, Murugan Ashwin, Ravi Bishnoi, Mohammed Shami, Sheldon Cottrell",,,IPL,2020,"Sharjah Cricket Stadium,Sharjah","Sep 27,2020",Rajasthan Royals have won the toss and have opted to field,Rajasthan Royals won by 4 wkts,Sanju Samson,RR,field,PBKS,RR,Rahul,Rajpoot,out,out,Full
17.5," Rajpoot to Rahul, no run, that's strange from KL - the slower ball from Rajpoot, but he slips it miles outside off - would have been a wide, but KL went right across and was looking to play the reverse pull, can't get bat on ball ",1st Inns,9th,Rajasthan Royals,Kings XI Punjab,"Rajasthan Royals (Playing XI): Steven Smith(c), Jos Buttler(w), Sanju Samson, Robin Uthappa, Rahul Tewatia, Riyan Parag, Tom Curran, Jofra Archer, Shreyas Gopal, Jaydev Unadkat, Ankit Rajpoot","Kings XI Punjab (Playing XI): Mayank Agarwal, Lokesh Rahul(w/c), Nicholas Pooran, Glenn Maxwell, Karun Nair, Sarfaraz Khan, James Neesham, Murugan Ashwin, Ravi Bishnoi, Mohammed Shami, Sheldon Cottrell",,,IPL,2020,"Sharjah Cricket Stadium,Sharjah","Sep 27,2020",Rajasthan Royals have won the toss and have opted to field,Rajasthan Royals won by 4 wkts,Sanju Samson,RR,field,PBKS,RR,Rahul, Rajpoot,0,0,
17.4," Rajpoot to Maxwell, 1 run, full-toss from Rajpoot, but Maxwell doesn't make the off-stump of it, went too hard on the drive and miscued it to long-on ",1st Inns,9th,Rajasthan Royals,Kings XI Punjab,"Rajasthan Royals (Playing XI): Steven Smith(c), Jos Buttler(w), Sanju Samson, Robin Uthappa, Rahul Tewatia, Riyan Parag, Tom Curran, Jofra Archer, Shreyas Gopal, Jaydev Unadkat, Ankit Rajpoot","Kings XI Punjab (Playing XI): Mayank Agarwal, Lokesh Rahul(w/c), Nicholas Pooran, Glenn Maxwell, Karun Nair, Sarfaraz Khan, James Neesham, Murugan Ashwin, Ravi Bishnoi, Mohammed Shami, Sheldon Cottrell",,,IPL,2020,"Sharjah Cricket Stadium,Sharjah","Sep 27,2020",Rajasthan Royals have won the toss and have opted to field,Rajasthan Royals won by 4 wkts,Sanju Samson,RR,field,PBKS,RR,Maxwell, Rajpoot,1,0,Full toss
17.3,"Rajpoot to Maxwell, FOUR, lovely, full and wide of off, would have been called as a wide had Maxwell let it go - he reached out, played with an open face and sliced it over backward point, almost went all the way, bounced just in front of the ropes",1st Inns,9th,Rajasthan Royals,Kings XI Punjab,"Rajasthan Royals (Playing XI): Steven Smith(c), Jos Buttler(w), Sanju Samson, Robin Uthappa, Rahul Tewatia, Riyan Parag, Tom Curran, Jofra Archer, Shreyas Gopal, Jaydev Unadkat, Ankit Rajpoot","Kings XI Punjab (Playing XI): Mayank Agarwal, Lokesh Rahul(w/c), Nicholas Pooran, Glenn Maxwell, Karun Nair, Sarfaraz Khan, James Neesham, Murugan Ashwin, Ravi Bishnoi, Mohammed Shami, Sheldon Cottrell",,,IPL,2020,"Sharjah Cricket Stadium,Sharjah","Sep 27,2020",Rajasthan Royals have won the toss and have opted to field,Rajasthan Royals won by 4 wkts,Sanju Samson,RR,field,PBKS,RR,Maxwell,Rajpoot,4,0,Full
17.2," Rajpoot to Maxwell, FOUR, Maxwell can be dangerous in this situation - he has the full license to go after the bowling, stays deep in the crease and that means this good length delivery sits up to him, heaved away over mid-wicket for a boundary ",1st Inns,9th,Rajasthan Royals,Kings XI Punjab,"Rajasthan Royals (Playing XI): Steven Smith(c), Jos Buttler(w), Sanju Samson, Robin Uthappa, Rahul Tewatia, Riyan Parag, Tom Curran, Jofra Archer, Shreyas Gopal, Jaydev Unadkat, Ankit Rajpoot","Kings XI Punjab (Playing XI): Mayank Agarwal, Lokesh Rahul(w/c), Nicholas Pooran, Glenn Maxwell, Karun Nair, Sarfaraz Khan, James Neesham, Murugan Ashwin, Ravi Bishnoi, Mohammed Shami, Sheldon Cottrell",,,IPL,2020,"Sharjah Cricket Stadium,Sharjah","Sep 27,2020",Rajasthan Royals have won the toss and have opted to field,Rajasthan Royals won by 4 wkts,Sanju Samson,RR,field,PBKS,RR,Maxwell, Rajpoot,4,0,Full
17.1," Rajpoot to Maxwell, no run, the slower wide delivery from Rajpoot, right on the tramlines, but it's not called as Maxwell had shuffled right across the stumps ",1st Inns,9th,Rajasthan Royals,Kings XI Punjab,"Rajasthan Royals (Playing XI): Steven Smith(c), Jos Buttler(w), Sanju Samson, Robin Uthappa, Rahul Tewatia, Riyan Parag, Tom Curran, Jofra Archer, Shreyas Gopal, Jaydev Unadkat, Ankit Rajpoot","Kings XI Punjab (Playing XI): Mayank Agarwal, Lokesh Rahul(w/c), Nicholas Pooran, Glenn Maxwell, Karun Nair, Sarfaraz Khan, James Neesham, Murugan Ashwin, Ravi Bishnoi, Mohammed Shami, Sheldon Cottrell",,,IPL,2020,"Sharjah Cricket Stadium,Sharjah","Sep 27,2020",Rajasthan Royals have won the toss and have opted to field,Rajasthan Royals won by 4 wkts,Sanju Samson,RR,field,PBKS,RR,Maxwell, Rajpoot,0,0,
16.6," Tom Curran to Maxwell, 1 run, slower short ball outside off, Maxwell can't get the cut behind point - straight to the fielder and they chance a single, a direct hit at the striker's end and KL was well short ",1st Inns,9th,Rajasthan Royals,Kings XI Punjab,"Rajasthan Royals (Playing XI): Steven Smith(c), Jos Buttler(w), Sanju Samson, Robin Uthappa, Rahul Tewatia, Riyan Parag, Tom Curran, Jofra Archer, Shreyas Gopal, Jaydev Unadkat, Ankit Rajpoot","Kings XI Punjab (Playing XI): Mayank Agarwal, Lokesh Rahul(w/c), Nicholas Pooran, Glenn Maxwell, Karun Nair, Sarfaraz Khan, James Neesham, Murugan Ashwin, Ravi Bishnoi, Mohammed Shami, Sheldon Cottrell",,,IPL,2020,"Sharjah Cricket Stadium,Sharjah","Sep 27,2020",Rajasthan Royals have won the toss and have opted to field,Rajasthan Royals won by 4 wkts,Sanju Samson,RR,field,PBKS,RR,Maxwell, Tom Curran,1,0,Short
16.5," Tom Curran to Rahul, 1 run, slower short ball on off, dabbed behind square on the off-side for a single ",1st Inns,9th,Rajasthan Royals,Kings XI Punjab,"Rajasthan Royals (Playing XI): Steven Smith(c), Jos Buttler(w), Sanju Samson, Robin Uthappa, Rahul Tewatia, Riyan Parag, Tom Curran, Jofra Archer, Shreyas Gopal, Jaydev Unadkat, Ankit Rajpoot","Kings XI Punjab (Playing XI): Mayank Agarwal, Lokesh Rahul(w/c), Nicholas Pooran, Glenn Maxwell, Karun Nair, Sarfaraz Khan, James Neesham, Murugan Ashwin, Ravi Bishnoi, Mohammed Shami, Sheldon Cottrell",,,IPL,2020,"Sharjah Cricket Stadium,Sharjah","Sep 27,2020",Rajasthan Royals have won the toss and have opted to field,Rajasthan Royals won by 4 wkts,Sanju Samson,RR,field,PBKS,RR,Rahul, Tom Curran,1,0,Short
16.4," Tom Curran to Rahul, no run, almost the perfect yorker from Curran, not much KL could have done with it - at the base of the fourth stump and he couldn't squeeze it down ",1st Inns,9th,Rajasthan Royals,Kings XI Punjab,"Rajasthan Royals (Playing XI): Steven Smith(c), Jos Buttler(w), Sanju Samson, Robin Uthappa, Rahul Tewatia, Riyan Parag, Tom Curran, Jofra Archer, Shreyas Gopal, Jaydev Unadkat, Ankit Rajpoot","Kings XI Punjab (Playing XI): Mayank Agarwal, Lokesh Rahul(w/c), Nicholas Pooran, Glenn Maxwell, Karun Nair, Sarfaraz Khan, James Neesham, Murugan Ashwin, Ravi Bishnoi, Mohammed Shami, Sheldon Cottrell",,,IPL,2020,"Sharjah Cricket Stadium,Sharjah","Sep 27,2020",Rajasthan Royals have won the toss and have opted to field,Rajasthan Royals won by 4 wkts,Sanju Samson,RR,field,PBKS,RR,Rahul, Tom Curran,0,0,yorker
16.3,"Tom Curran to Agarwal, out Caught by Samson!! That's the end of a truly stunning knock from Mayank - gets a big thumbs-up from his captain as he walks back. This was right in the slot, full and at his pads, he cleared his left leg on the shovel over mid-wicket got too much under it and scooped it high and into the hands of deep mid-wicket. Samson under the ball and he was never going to drop it. Agarwal c Samson b Tom Curran 106(50) [4s-10 6s-7]",1st Inns,9th,Rajasthan Royals,Kings XI Punjab,"Rajasthan Royals (Playing XI): Steven Smith(c), Jos Buttler(w), Sanju Samson, Robin Uthappa, Rahul Tewatia, Riyan Parag, Tom Curran, Jofra Archer, Shreyas Gopal, Jaydev Unadkat, Ankit Rajpoot","Kings XI Punjab (Playing XI): Mayank Agarwal, Lokesh Rahul(w/c), Nicholas Pooran, Glenn Maxwell, Karun Nair, Sarfaraz Khan, James Neesham, Murugan Ashwin, Ravi Bishnoi, Mohammed Shami, Sheldon Cottrell",,,IPL,2020,"Sharjah Cricket Stadium,Sharjah","Sep 27,2020",Rajasthan Royals have won the toss and have opted to field,Rajasthan Royals won by 4 wkts,Sanju Samson,RR,field,PBKS,RR,Agarwal,Tom Curran,out,out,Slot
16.2," Tom Curran to Agarwal, FOUR, Mayank is on a roll tonight, length delivery outside off, he gets under it and thumps it back over the bowler's head, beats the fielder running to his right from long-off ",1st Inns,9th,Rajasthan Royals,Kings XI Punjab,"Rajasthan Royals (Playing XI): Steven Smith(c), Jos Buttler(w), Sanju Samson, Robin Uthappa, Rahul Tewatia, Riyan Parag, Tom Curran, Jofra Archer, Shreyas Gopal, Jaydev Unadkat, Ankit Rajpoot","Kings XI Punjab (Playing XI): Mayank Agarwal, Lokesh Rahul(w/c), Nicholas Pooran, Glenn Maxwell, Karun Nair, Sarfaraz Khan, James Neesham, Murugan Ashwin, Ravi Bishnoi, Mohammed Shami, Sheldon Cottrell",,,IPL,2020,"Sharjah Cricket Stadium,Sharjah","Sep 27,2020",Rajasthan Royals have won the toss and have opted to field,Rajasthan Royals won by 4 wkts,Sanju Samson,RR,field,PBKS,RR,Agarwal, Tom Curran,4,0,Good
16.1," Tom Curran to Rahul, 1 run, full-toss and Rahul will be disappointed at having not put it away, gets a big inside edge on the drive and it rolls behind square on the on-side for a single ",1st Inns,9th,Rajasthan Royals,Kings XI Punjab,"Rajasthan Royals (Playing XI): Steven Smith(c), Jos Buttler(w), Sanju Samson, Robin Uthappa, Rahul Tewatia, Riyan Parag, Tom Curran, Jofra Archer, Shreyas Gopal, Jaydev Unadkat, Ankit Rajpoot","Kings XI Punjab (Playing XI): Mayank Agarwal, Lokesh Rahul(w/c), Nicholas Pooran, Glenn Maxwell, Karun Nair, Sarfaraz Khan, James Neesham, Murugan Ashwin, Ravi Bishnoi, Mohammed Shami, Sheldon Cottrell",,,IPL,2020,"Sharjah Cricket Stadium,Sharjah","Sep 27,2020",Rajasthan Royals have won the toss and have opted to field,Rajasthan Royals won by 4 wkts,Sanju Samson,RR,field,PBKS,RR,Rahul, Tom Curran,1,0,Full toss
15.6," Rajpoot to Rahul, 1 run, low full-toss from Rajpoot, driven towards deep cover for a single - only six from the over, relief for the Royals ",1st Inns,9th,Rajasthan Royals,Kings XI Punjab,"Rajasthan Royals (Playing XI): Steven Smith(c), Jos Buttler(w), Sanju Samson, Robin Uthappa, Rahul Tewatia, Riyan Parag, Tom Curran, Jofra Archer, Shreyas Gopal, Jaydev Unadkat, Ankit Rajpoot","Kings XI Punjab (Playing XI): Mayank Agarwal, Lokesh Rahul(w/c), Nicholas Pooran, Glenn Maxwell, Karun Nair, Sarfaraz Khan, James Neesham, Murugan Ashwin, Ravi Bishnoi, Mohammed Shami, Sheldon Cottrell",,,IPL,2020,"Sharjah Cricket Stadium,Sharjah","Sep 27,2020",Rajasthan Royals have won the toss and have opted to field,Rajasthan Royals won by 4 wkts,Sanju Samson,RR,field,PBKS,RR,Rahul, Rajpoot,1,0,Full toss
15.5," Rajpoot to Agarwal, 1 run, slower short ball from Rajpoot, no pace on the delivery for Mayank to go over mid-wicket with the pull, splices it back past the non-striker for a single ",1st Inns,9th,Rajasthan Royals,Kings XI Punjab,"Rajasthan Royals (Playing XI): Steven Smith(c), Jos Buttler(w), Sanju Samson, Robin Uthappa, Rahul Tewatia, Riyan Parag, Tom Curran, Jofra Archer, Shreyas Gopal, Jaydev Unadkat, Ankit Rajpoot","Kings XI Punjab (Playing XI): Mayank Agarwal, Lokesh Rahul(w/c), Nicholas Pooran, Glenn Maxwell, Karun Nair, Sarfaraz Khan, James Neesham, Murugan Ashwin, Ravi Bishnoi, Mohammed Shami, Sheldon Cottrell",,,IPL,2020,"Sharjah Cricket Stadium,Sharjah","Sep 27,2020",Rajasthan Royals have won the toss and have opted to field,Rajasthan Royals won by 4 wkts,Sanju Samson,RR,field,PBKS,RR,Agarwal, Rajpoot,1,0,Short
15.4," Rajpoot to Agarwal, no run, much better from Rajpoot, the wide yorker and Mayank can't get under it, squeezed underneath his bat on its way to the keeper ",1st Inns,9th,Rajasthan Royals,Kings XI Punjab,"Rajasthan Royals (Playing XI): Steven Smith(c), Jos Buttler(w), Sanju Samson, Robin Uthappa, Rahul Tewatia, Riyan Parag, Tom Curran, Jofra Archer, Shreyas Gopal, Jaydev Unadkat, Ankit Rajpoot","Kings XI Punjab (Playing XI): Mayank Agarwal, Lokesh Rahul(w/c), Nicholas Pooran, Glenn Maxwell, Karun Nair, Sarfaraz Khan, James Neesham, Murugan Ashwin, Ravi Bishnoi, Mohammed Shami, Sheldon Cottrell",,,IPL,2020,"Sharjah Cricket Stadium,Sharjah","Sep 27,2020",Rajasthan Royals have won the toss and have opted to field,Rajasthan Royals won by 4 wkts,Sanju Samson,RR,field,PBKS,RR,Agarwal, Rajpoot,0,0,yorker
15.3," Rajpoot to Rahul, 1 run, slower short ball from Rajpoot, but it's well wide of off, crashed square on the off-side for a single ",1st Inns,9th,Rajasthan Royals,Kings XI Punjab,"Rajasthan Royals (Playing XI): Steven Smith(c), Jos Buttler(w), Sanju Samson, Robin Uthappa, Rahul Tewatia, Riyan Parag, Tom Curran, Jofra Archer, Shreyas Gopal, Jaydev Unadkat, Ankit Rajpoot","Kings XI Punjab (Playing XI): Mayank Agarwal, Lokesh Rahul(w/c), Nicholas Pooran, Glenn Maxwell, Karun Nair, Sarfaraz Khan, James Neesham, Murugan Ashwin, Ravi Bishnoi, Mohammed Shami, Sheldon Cottrell",,,IPL,2020,"Sharjah Cricket Stadium,Sharjah","Sep 27,2020",Rajasthan Royals have won the toss and have opted to field,Rajasthan Royals won by 4 wkts,Sanju Samson,RR,field,PBKS,RR,Rahul, Rajpoot,1,0,Short
