ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler,runs,extra
19.6," Stokes to Jadeja, 1 run, CSK finish with 125 on the board, low full-toss on the pads, RJ swings and gets an inside edge onto his pads, rolled down towards short fine for a single ",1st Inns,37t,Chennai Super Kings,Rajasthan Royals,"Chennai Super Kings (Playing XI): Faf du Plessis, Sam Curran, Shane Watson, Ambati Rayudu, MS Dhoni(w/c), Ravindra Jadeja, Kedar Jadhav, Deepak Chahar, Piyush Chawla, Shardul Thakur, Josh Hazlewood","Rajasthan Royals (Playing XI): Robin Uthappa, Ben Stokes, Sanju Samson(w), Steven Smith(c), Jos Buttler, Riyan Parag, Rahul Tewatia, Jofra Archer, Shreyas Gopal, Ankit Rajpoot, Kartik Tyagi",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Oct 19,2020",Chennai Super Kings have won the toss and have opted to bat,Rajasthan Royals won by 7 wkts,Jos Buttler,CSK,bat,CSK,RR,Jadeja, Stokes,1,0
19.5," Stokes to Kedar Jadhav, byes, 1 run, slower short delivery from Stokes, Jadhav had telegraphed his intentions as he went down on his knees - is beaten by the lack of pace and takes a bye as Samson fumbles ",1st Inns,37t,Chennai Super Kings,Rajasthan Royals,"Chennai Super Kings (Playing XI): Faf du Plessis, Sam Curran, Shane Watson, Ambati Rayudu, MS Dhoni(w/c), Ravindra Jadeja, Kedar Jadhav, Deepak Chahar, Piyush Chawla, Shardul Thakur, Josh Hazlewood","Rajasthan Royals (Playing XI): Robin Uthappa, Ben Stokes, Sanju Samson(w), Steven Smith(c), Jos Buttler, Riyan Parag, Rahul Tewatia, Jofra Archer, Shreyas Gopal, Ankit Rajpoot, Kartik Tyagi",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Oct 19,2020",Chennai Super Kings have won the toss and have opted to bat,Rajasthan Royals won by 7 wkts,Jos Buttler,CSK,bat,CSK,RR,Kedar Jadhav, Stokes,byes,1
19.4," Stokes to Jadeja, 1 run, RJ wants a second, but Kedar Jadhav has slipped at the striker's end - slower delivery outside off, dragged down towards Archer at long-on and he makes a clean stop ",1st Inns,37t,Chennai Super Kings,Rajasthan Royals,"Chennai Super Kings (Playing XI): Faf du Plessis, Sam Curran, Shane Watson, Ambati Rayudu, MS Dhoni(w/c), Ravindra Jadeja, Kedar Jadhav, Deepak Chahar, Piyush Chawla, Shardul Thakur, Josh Hazlewood","Rajasthan Royals (Playing XI): Robin Uthappa, Ben Stokes, Sanju Samson(w), Steven Smith(c), Jos Buttler, Riyan Parag, Rahul Tewatia, Jofra Archer, Shreyas Gopal, Ankit Rajpoot, Kartik Tyagi",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Oct 19,2020",Chennai Super Kings have won the toss and have opted to bat,Rajasthan Royals won by 7 wkts,Jos Buttler,CSK,bat,CSK,RR,Jadeja, Stokes,1,0
19.3," Stokes to Kedar Jadhav, 1 run, low full-toss from Stokes, clipped wide of mid-wicket for a single ",1st Inns,37t,Chennai Super Kings,Rajasthan Royals,"Chennai Super Kings (Playing XI): Faf du Plessis, Sam Curran, Shane Watson, Ambati Rayudu, MS Dhoni(w/c), Ravindra Jadeja, Kedar Jadhav, Deepak Chahar, Piyush Chawla, Shardul Thakur, Josh Hazlewood","Rajasthan Royals (Playing XI): Robin Uthappa, Ben Stokes, Sanju Samson(w), Steven Smith(c), Jos Buttler, Riyan Parag, Rahul Tewatia, Jofra Archer, Shreyas Gopal, Ankit Rajpoot, Kartik Tyagi",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Oct 19,2020",Chennai Super Kings have won the toss and have opted to bat,Rajasthan Royals won by 7 wkts,Jos Buttler,CSK,bat,CSK,RR,Kedar Jadhav, Stokes,1,0
19.2,"Stokes to Kedar Jadhav, 2 runs, Archer is having a bad day in the field, misses a sitter now, length delivery and Jadhav horribly swiped at it, gets it high off the bat and spooned a dolly towards long-off. Archer had plenty of time and somehow lets the ball pop out",1st Inns,37t,Chennai Super Kings,Rajasthan Royals,"Chennai Super Kings (Playing XI): Faf du Plessis, Sam Curran, Shane Watson, Ambati Rayudu, MS Dhoni(w/c), Ravindra Jadeja, Kedar Jadhav, Deepak Chahar, Piyush Chawla, Shardul Thakur, Josh Hazlewood","Rajasthan Royals (Playing XI): Robin Uthappa, Ben Stokes, Sanju Samson(w), Steven Smith(c), Jos Buttler, Riyan Parag, Rahul Tewatia, Jofra Archer, Shreyas Gopal, Ankit Rajpoot, Kartik Tyagi",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Oct 19,2020",Chennai Super Kings have won the toss and have opted to bat,Rajasthan Royals won by 7 wkts,Jos Buttler,CSK,bat,CSK,RR,Kedar Jadhav,Stokes,2,0
19.1," Stokes to Jadeja, 1 run, RJ gives the charge to a good length delivery and finds extra-cover with the slap, just a single ",1st Inns,37t,Chennai Super Kings,Rajasthan Royals,"Chennai Super Kings (Playing XI): Faf du Plessis, Sam Curran, Shane Watson, Ambati Rayudu, MS Dhoni(w/c), Ravindra Jadeja, Kedar Jadhav, Deepak Chahar, Piyush Chawla, Shardul Thakur, Josh Hazlewood","Rajasthan Royals (Playing XI): Robin Uthappa, Ben Stokes, Sanju Samson(w), Steven Smith(c), Jos Buttler, Riyan Parag, Rahul Tewatia, Jofra Archer, Shreyas Gopal, Ankit Rajpoot, Kartik Tyagi",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Oct 19,2020",Chennai Super Kings have won the toss and have opted to bat,Rajasthan Royals won by 7 wkts,Jos Buttler,CSK,bat,CSK,RR,Jadeja, Stokes,1,0
18.6," Jofra Archer to Jadeja, 1 run, short of a length and at the stumps, RJ hops across and turns it towards mid-wicket for a single ",1st Inns,37t,Chennai Super Kings,Rajasthan Royals,"Chennai Super Kings (Playing XI): Faf du Plessis, Sam Curran, Shane Watson, Ambati Rayudu, MS Dhoni(w/c), Ravindra Jadeja, Kedar Jadhav, Deepak Chahar, Piyush Chawla, Shardul Thakur, Josh Hazlewood","Rajasthan Royals (Playing XI): Robin Uthappa, Ben Stokes, Sanju Samson(w), Steven Smith(c), Jos Buttler, Riyan Parag, Rahul Tewatia, Jofra Archer, Shreyas Gopal, Ankit Rajpoot, Kartik Tyagi",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Oct 19,2020",Chennai Super Kings have won the toss and have opted to bat,Rajasthan Royals won by 7 wkts,Jos Buttler,CSK,bat,CSK,RR,Jadeja, Jofra Archer,1,0
18.5," Jofra Archer to Jadeja, FOUR, back-to-back boundaries for RJ, pacy short delivery, right at his ribs, he gets inside the line and tickles it on its way, went fine and beat long leg to the ropes ",1st Inns,37t,Chennai Super Kings,Rajasthan Royals,"Chennai Super Kings (Playing XI): Faf du Plessis, Sam Curran, Shane Watson, Ambati Rayudu, MS Dhoni(w/c), Ravindra Jadeja, Kedar Jadhav, Deepak Chahar, Piyush Chawla, Shardul Thakur, Josh Hazlewood","Rajasthan Royals (Playing XI): Robin Uthappa, Ben Stokes, Sanju Samson(w), Steven Smith(c), Jos Buttler, Riyan Parag, Rahul Tewatia, Jofra Archer, Shreyas Gopal, Ankit Rajpoot, Kartik Tyagi",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Oct 19,2020",Chennai Super Kings have won the toss and have opted to bat,Rajasthan Royals won by 7 wkts,Jos Buttler,CSK,bat,CSK,RR,Jadeja, Jofra Archer,4,0
18.4," Jofra Archer to Jadeja, FOUR, nicely struck, for once, Archer misses his yorker, length ball at the stumps, RJ backs away, frees his arms and drills it over mid-off for a boundary ",1st Inns,37t,Chennai Super Kings,Rajasthan Royals,"Chennai Super Kings (Playing XI): Faf du Plessis, Sam Curran, Shane Watson, Ambati Rayudu, MS Dhoni(w/c), Ravindra Jadeja, Kedar Jadhav, Deepak Chahar, Piyush Chawla, Shardul Thakur, Josh Hazlewood","Rajasthan Royals (Playing XI): Robin Uthappa, Ben Stokes, Sanju Samson(w), Steven Smith(c), Jos Buttler, Riyan Parag, Rahul Tewatia, Jofra Archer, Shreyas Gopal, Ankit Rajpoot, Kartik Tyagi",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Oct 19,2020",Chennai Super Kings have won the toss and have opted to bat,Rajasthan Royals won by 7 wkts,Jos Buttler,CSK,bat,CSK,RR,Jadeja, Jofra Archer,4,0
18.3," Jofra Archer to Kedar Jadhav, 1 run, on a good length and just outside off, pushed in front of backward point for a single ",1st Inns,37t,Chennai Super Kings,Rajasthan Royals,"Chennai Super Kings (Playing XI): Faf du Plessis, Sam Curran, Shane Watson, Ambati Rayudu, MS Dhoni(w/c), Ravindra Jadeja, Kedar Jadhav, Deepak Chahar, Piyush Chawla, Shardul Thakur, Josh Hazlewood","Rajasthan Royals (Playing XI): Robin Uthappa, Ben Stokes, Sanju Samson(w), Steven Smith(c), Jos Buttler, Riyan Parag, Rahul Tewatia, Jofra Archer, Shreyas Gopal, Ankit Rajpoot, Kartik Tyagi",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Oct 19,2020",Chennai Super Kings have won the toss and have opted to bat,Rajasthan Royals won by 7 wkts,Jos Buttler,CSK,bat,CSK,RR,Kedar Jadhav, Jofra Archer,1,0
18.2," Jofra Archer to Kedar Jadhav, no run, beauty, Archer shortened his length and gets it to leave the right-hander late, opens up Jadhav completely as he looked to work it to the on-side, curled past the closed bat-face ",1st Inns,37t,Chennai Super Kings,Rajasthan Royals,"Chennai Super Kings (Playing XI): Faf du Plessis, Sam Curran, Shane Watson, Ambati Rayudu, MS Dhoni(w/c), Ravindra Jadeja, Kedar Jadhav, Deepak Chahar, Piyush Chawla, Shardul Thakur, Josh Hazlewood","Rajasthan Royals (Playing XI): Robin Uthappa, Ben Stokes, Sanju Samson(w), Steven Smith(c), Jos Buttler, Riyan Parag, Rahul Tewatia, Jofra Archer, Shreyas Gopal, Ankit Rajpoot, Kartik Tyagi",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Oct 19,2020",Chennai Super Kings have won the toss and have opted to bat,Rajasthan Royals won by 7 wkts,Jos Buttler,CSK,bat,CSK,RR,Kedar Jadhav, Jofra Archer,0,0
18.1," Jofra Archer to Jadeja, 1 run, very full and just outside off, RJ jams it out towards mid-off for a single ",1st Inns,37t,Chennai Super Kings,Rajasthan Royals,"Chennai Super Kings (Playing XI): Faf du Plessis, Sam Curran, Shane Watson, Ambati Rayudu, MS Dhoni(w/c), Ravindra Jadeja, Kedar Jadhav, Deepak Chahar, Piyush Chawla, Shardul Thakur, Josh Hazlewood","Rajasthan Royals (Playing XI): Robin Uthappa, Ben Stokes, Sanju Samson(w), Steven Smith(c), Jos Buttler, Riyan Parag, Rahul Tewatia, Jofra Archer, Shreyas Gopal, Ankit Rajpoot, Kartik Tyagi",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Oct 19,2020",Chennai Super Kings have won the toss and have opted to bat,Rajasthan Royals won by 7 wkts,Jos Buttler,CSK,bat,CSK,RR,Jadeja, Jofra Archer,1,0
17.6,"Kartik Tyagi to Kedar Jadhav, no run, banged in short and climbing onto the right-hander, Jadhav was looking to cut it up and over backward point, beaten by the extra bounce - only seven from the over, this is superb stuff from the Royals",1st Inns,37t,Chennai Super Kings,Rajasthan Royals,"Chennai Super Kings (Playing XI): Faf du Plessis, Sam Curran, Shane Watson, Ambati Rayudu, MS Dhoni(w/c), Ravindra Jadeja, Kedar Jadhav, Deepak Chahar, Piyush Chawla, Shardul Thakur, Josh Hazlewood","Rajasthan Royals (Playing XI): Robin Uthappa, Ben Stokes, Sanju Samson(w), Steven Smith(c), Jos Buttler, Riyan Parag, Rahul Tewatia, Jofra Archer, Shreyas Gopal, Ankit Rajpoot, Kartik Tyagi",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Oct 19,2020",Chennai Super Kings have won the toss and have opted to bat,Rajasthan Royals won by 7 wkts,Jos Buttler,CSK,bat,CSK,RR,Kedar Jadhav,Kartik Tyagi,0,0
17.5," Kartik Tyagi to Kedar Jadhav, no run, banged in short and just outside off, Jadhav drops his wrists and sways away from the line ",1st Inns,37t,Chennai Super Kings,Rajasthan Royals,"Chennai Super Kings (Playing XI): Faf du Plessis, Sam Curran, Shane Watson, Ambati Rayudu, MS Dhoni(w/c), Ravindra Jadeja, Kedar Jadhav, Deepak Chahar, Piyush Chawla, Shardul Thakur, Josh Hazlewood","Rajasthan Royals (Playing XI): Robin Uthappa, Ben Stokes, Sanju Samson(w), Steven Smith(c), Jos Buttler, Riyan Parag, Rahul Tewatia, Jofra Archer, Shreyas Gopal, Ankit Rajpoot, Kartik Tyagi",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Oct 19,2020",Chennai Super Kings have won the toss and have opted to bat,Rajasthan Royals won by 7 wkts,Jos Buttler,CSK,bat,CSK,RR,Kedar Jadhav, Kartik Tyagi,0,0
17.4,"Kartik Tyagi to Dhoni, out Dhoni Run Out!! 1 run completed. Appeal for a run-out, MS was scampering back for the second. Has he made his ground? It looks tight, this looks OUT. He did slide his bat in, but did he get it past the crease when the bails lit up? No, says the third umpire - OUT, it is. That's a big blow for CSK - could make a difference of at least 10-15 runs. Casual from MS, don't think he thought there was a second there, was casually ambling across for the first and then decides to take the second once Archer fumbled. He's quick to recover and throws it at the right end, MS did push hard, but he was done in by the smallest of margins. Dhoni run out (Jofra Archer/Samson) 28(28) [4s-2]",1st Inns,37t,Chennai Super Kings,Rajasthan Royals,"Chennai Super Kings (Playing XI): Faf du Plessis, Sam Curran, Shane Watson, Ambati Rayudu, MS Dhoni(w/c), Ravindra Jadeja, Kedar Jadhav, Deepak Chahar, Piyush Chawla, Shardul Thakur, Josh Hazlewood","Rajasthan Royals (Playing XI): Robin Uthappa, Ben Stokes, Sanju Samson(w), Steven Smith(c), Jos Buttler, Riyan Parag, Rahul Tewatia, Jofra Archer, Shreyas Gopal, Ankit Rajpoot, Kartik Tyagi",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Oct 19,2020",Chennai Super Kings have won the toss and have opted to bat,Rajasthan Royals won by 7 wkts,Jos Buttler,CSK,bat,CSK,RR,Dhoni,Kartik Tyagi,out,out
17.3,"Kartik Tyagi to Dhoni, FOUR, oh dear! Is that the release MS and CSK wanted? Low full-toss and Dhoni drove it to the left of long-off. Archer ran across and then took his eyes off the ball, lets it sneak between his legs. Extra couple of runs for MS",1st Inns,37t,Chennai Super Kings,Rajasthan Royals,"Chennai Super Kings (Playing XI): Faf du Plessis, Sam Curran, Shane Watson, Ambati Rayudu, MS Dhoni(w/c), Ravindra Jadeja, Kedar Jadhav, Deepak Chahar, Piyush Chawla, Shardul Thakur, Josh Hazlewood","Rajasthan Royals (Playing XI): Robin Uthappa, Ben Stokes, Sanju Samson(w), Steven Smith(c), Jos Buttler, Riyan Parag, Rahul Tewatia, Jofra Archer, Shreyas Gopal, Ankit Rajpoot, Kartik Tyagi",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Oct 19,2020",Chennai Super Kings have won the toss and have opted to bat,Rajasthan Royals won by 7 wkts,Jos Buttler,CSK,bat,CSK,RR,Dhoni,Kartik Tyagi,4,0
17.2,"Kartik Tyagi to Jadeja, ley byes, 1 run, appeal for LBW, but this has definitely pitched outside leg, RJ was looking to swing it away over the leg-side and missed, sneaks in a leg-bye as the ball rolled towards backward point",1st Inns,37t,Chennai Super Kings,Rajasthan Royals,"Chennai Super Kings (Playing XI): Faf du Plessis, Sam Curran, Shane Watson, Ambati Rayudu, MS Dhoni(w/c), Ravindra Jadeja, Kedar Jadhav, Deepak Chahar, Piyush Chawla, Shardul Thakur, Josh Hazlewood","Rajasthan Royals (Playing XI): Robin Uthappa, Ben Stokes, Sanju Samson(w), Steven Smith(c), Jos Buttler, Riyan Parag, Rahul Tewatia, Jofra Archer, Shreyas Gopal, Ankit Rajpoot, Kartik Tyagi",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Oct 19,2020",Chennai Super Kings have won the toss and have opted to bat,Rajasthan Royals won by 7 wkts,Jos Buttler,CSK,bat,CSK,RR,Jadeja,Kartik Tyagi,,
17.1," Kartik Tyagi to Dhoni, 1 run, juicy full-toss and MS can't get hold of it, wanted to muscle it over mid-wicket and times it horribly towards long-on ",1st Inns,37t,Chennai Super Kings,Rajasthan Royals,"Chennai Super Kings (Playing XI): Faf du Plessis, Sam Curran, Shane Watson, Ambati Rayudu, MS Dhoni(w/c), Ravindra Jadeja, Kedar Jadhav, Deepak Chahar, Piyush Chawla, Shardul Thakur, Josh Hazlewood","Rajasthan Royals (Playing XI): Robin Uthappa, Ben Stokes, Sanju Samson(w), Steven Smith(c), Jos Buttler, Riyan Parag, Rahul Tewatia, Jofra Archer, Shreyas Gopal, Ankit Rajpoot, Kartik Tyagi",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Oct 19,2020",Chennai Super Kings have won the toss and have opted to bat,Rajasthan Royals won by 7 wkts,Jos Buttler,CSK,bat,CSK,RR,Dhoni, Kartik Tyagi,1,0
16.6," Jofra Archer to Dhoni, 1 run, short of a length and climbing into Dhoni's gloves, he awkwardly nudges it behind square on the on-side. Terrific over from Archer, only four singles came off it ",1st Inns,37t,Chennai Super Kings,Rajasthan Royals,"Chennai Super Kings (Playing XI): Faf du Plessis, Sam Curran, Shane Watson, Ambati Rayudu, MS Dhoni(w/c), Ravindra Jadeja, Kedar Jadhav, Deepak Chahar, Piyush Chawla, Shardul Thakur, Josh Hazlewood","Rajasthan Royals (Playing XI): Robin Uthappa, Ben Stokes, Sanju Samson(w), Steven Smith(c), Jos Buttler, Riyan Parag, Rahul Tewatia, Jofra Archer, Shreyas Gopal, Ankit Rajpoot, Kartik Tyagi",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Oct 19,2020",Chennai Super Kings have won the toss and have opted to bat,Rajasthan Royals won by 7 wkts,Jos Buttler,CSK,bat,CSK,RR,Dhoni, Jofra Archer,1,0
16.5," Jofra Archer to Dhoni, no run, slower short ball outside off, Dhoni has a look and lets it go - not too high though, hence it isn't a wide ",1st Inns,37t,Chennai Super Kings,Rajasthan Royals,"Chennai Super Kings (Playing XI): Faf du Plessis, Sam Curran, Shane Watson, Ambati Rayudu, MS Dhoni(w/c), Ravindra Jadeja, Kedar Jadhav, Deepak Chahar, Piyush Chawla, Shardul Thakur, Josh Hazlewood","Rajasthan Royals (Playing XI): Robin Uthappa, Ben Stokes, Sanju Samson(w), Steven Smith(c), Jos Buttler, Riyan Parag, Rahul Tewatia, Jofra Archer, Shreyas Gopal, Ankit Rajpoot, Kartik Tyagi",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Oct 19,2020",Chennai Super Kings have won the toss and have opted to bat,Rajasthan Royals won by 7 wkts,Jos Buttler,CSK,bat,CSK,RR,Dhoni, Jofra Archer,0,0
16.4," Jofra Archer to Jadeja, 1 run, another full-toss on RJ's pads, clipped past square leg for a single ",1st Inns,37t,Chennai Super Kings,Rajasthan Royals,"Chennai Super Kings (Playing XI): Faf du Plessis, Sam Curran, Shane Watson, Ambati Rayudu, MS Dhoni(w/c), Ravindra Jadeja, Kedar Jadhav, Deepak Chahar, Piyush Chawla, Shardul Thakur, Josh Hazlewood","Rajasthan Royals (Playing XI): Robin Uthappa, Ben Stokes, Sanju Samson(w), Steven Smith(c), Jos Buttler, Riyan Parag, Rahul Tewatia, Jofra Archer, Shreyas Gopal, Ankit Rajpoot, Kartik Tyagi",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Oct 19,2020",Chennai Super Kings have won the toss and have opted to bat,Rajasthan Royals won by 7 wkts,Jos Buttler,CSK,bat,CSK,RR,Jadeja, Jofra Archer,1,0
16.3," Jofra Archer to Jadeja, no run, on a good length and shaping away from the3 batsman, RJ was looking to drive and is beaten by the away going angle ",1st Inns,37t,Chennai Super Kings,Rajasthan Royals,"Chennai Super Kings (Playing XI): Faf du Plessis, Sam Curran, Shane Watson, Ambati Rayudu, MS Dhoni(w/c), Ravindra Jadeja, Kedar Jadhav, Deepak Chahar, Piyush Chawla, Shardul Thakur, Josh Hazlewood","Rajasthan Royals (Playing XI): Robin Uthappa, Ben Stokes, Sanju Samson(w), Steven Smith(c), Jos Buttler, Riyan Parag, Rahul Tewatia, Jofra Archer, Shreyas Gopal, Ankit Rajpoot, Kartik Tyagi",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Oct 19,2020",Chennai Super Kings have won the toss and have opted to bat,Rajasthan Royals won by 7 wkts,Jos Buttler,CSK,bat,CSK,RR,Jadeja, Jofra Archer,0,0
16.2," Jofra Archer to Dhoni, 1 run, fuller length delivery outside off, Dhoni was winding up for the big lofted drive over cover, toe-ends it down towards third man for a single ",1st Inns,37t,Chennai Super Kings,Rajasthan Royals,"Chennai Super Kings (Playing XI): Faf du Plessis, Sam Curran, Shane Watson, Ambati Rayudu, MS Dhoni(w/c), Ravindra Jadeja, Kedar Jadhav, Deepak Chahar, Piyush Chawla, Shardul Thakur, Josh Hazlewood","Rajasthan Royals (Playing XI): Robin Uthappa, Ben Stokes, Sanju Samson(w), Steven Smith(c), Jos Buttler, Riyan Parag, Rahul Tewatia, Jofra Archer, Shreyas Gopal, Ankit Rajpoot, Kartik Tyagi",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Oct 19,2020",Chennai Super Kings have won the toss and have opted to bat,Rajasthan Royals won by 7 wkts,Jos Buttler,CSK,bat,CSK,RR,Dhoni, Jofra Archer,1,0
16.1," Jofra Archer to Jadeja, 1 run, leading edge, full-toss from Archer and Jadeja was early into the flick, caught the leading edge and went to Buttler at cover on the bounce. They chance his arm and he misses his target at the bowler's end - with RJ scrambling ",1st Inns,37t,Chennai Super Kings,Rajasthan Royals,"Chennai Super Kings (Playing XI): Faf du Plessis, Sam Curran, Shane Watson, Ambati Rayudu, MS Dhoni(w/c), Ravindra Jadeja, Kedar Jadhav, Deepak Chahar, Piyush Chawla, Shardul Thakur, Josh Hazlewood","Rajasthan Royals (Playing XI): Robin Uthappa, Ben Stokes, Sanju Samson(w), Steven Smith(c), Jos Buttler, Riyan Parag, Rahul Tewatia, Jofra Archer, Shreyas Gopal, Ankit Rajpoot, Kartik Tyagi",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Oct 19,2020",Chennai Super Kings have won the toss and have opted to bat,Rajasthan Royals won by 7 wkts,Jos Buttler,CSK,bat,CSK,RR,Jadeja, Jofra Archer,1,0
15.6," Stokes to Jadeja, 1 run, slower ball outside off, Jadeja runs it to short third man and is called through for a quick single by Dhoni ",1st Inns,37t,Chennai Super Kings,Rajasthan Royals,"Chennai Super Kings (Playing XI): Faf du Plessis, Sam Curran, Shane Watson, Ambati Rayudu, MS Dhoni(w/c), Ravindra Jadeja, Kedar Jadhav, Deepak Chahar, Piyush Chawla, Shardul Thakur, Josh Hazlewood","Rajasthan Royals (Playing XI): Robin Uthappa, Ben Stokes, Sanju Samson(w), Steven Smith(c), Jos Buttler, Riyan Parag, Rahul Tewatia, Jofra Archer, Shreyas Gopal, Ankit Rajpoot, Kartik Tyagi",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Oct 19,2020",Chennai Super Kings have won the toss and have opted to bat,Rajasthan Royals won by 7 wkts,Jos Buttler,CSK,bat,CSK,RR,Jadeja, Stokes,1,0
15.5," Stokes to Dhoni, 1 run, short of a good length and just outside off, punched off the back-foot and past cover-point for a single ",1st Inns,37t,Chennai Super Kings,Rajasthan Royals,"Chennai Super Kings (Playing XI): Faf du Plessis, Sam Curran, Shane Watson, Ambati Rayudu, MS Dhoni(w/c), Ravindra Jadeja, Kedar Jadhav, Deepak Chahar, Piyush Chawla, Shardul Thakur, Josh Hazlewood","Rajasthan Royals (Playing XI): Robin Uthappa, Ben Stokes, Sanju Samson(w), Steven Smith(c), Jos Buttler, Riyan Parag, Rahul Tewatia, Jofra Archer, Shreyas Gopal, Ankit Rajpoot, Kartik Tyagi",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Oct 19,2020",Chennai Super Kings have won the toss and have opted to bat,Rajasthan Royals won by 7 wkts,Jos Buttler,CSK,bat,CSK,RR,Dhoni, Stokes,1,0
15.4,"Stokes to Dhoni, 2 runs, a direct hit might have had RJ in trouble, they decided on the second as soon as Smith fumbled, he was quick to recover and has a shy at the bowler's end - back of a length and just outside off, flicked towards long-on by Dhoni",1st Inns,37t,Chennai Super Kings,Rajasthan Royals,"Chennai Super Kings (Playing XI): Faf du Plessis, Sam Curran, Shane Watson, Ambati Rayudu, MS Dhoni(w/c), Ravindra Jadeja, Kedar Jadhav, Deepak Chahar, Piyush Chawla, Shardul Thakur, Josh Hazlewood","Rajasthan Royals (Playing XI): Robin Uthappa, Ben Stokes, Sanju Samson(w), Steven Smith(c), Jos Buttler, Riyan Parag, Rahul Tewatia, Jofra Archer, Shreyas Gopal, Ankit Rajpoot, Kartik Tyagi",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Oct 19,2020",Chennai Super Kings have won the toss and have opted to bat,Rajasthan Royals won by 7 wkts,Jos Buttler,CSK,bat,CSK,RR,Dhoni,Stokes,2,0
15.3," Stokes to Jadeja, 1 run, another slower ball from Stokes, Jadeja dabs it in front of backward point for a single ",1st Inns,37t,Chennai Super Kings,Rajasthan Royals,"Chennai Super Kings (Playing XI): Faf du Plessis, Sam Curran, Shane Watson, Ambati Rayudu, MS Dhoni(w/c), Ravindra Jadeja, Kedar Jadhav, Deepak Chahar, Piyush Chawla, Shardul Thakur, Josh Hazlewood","Rajasthan Royals (Playing XI): Robin Uthappa, Ben Stokes, Sanju Samson(w), Steven Smith(c), Jos Buttler, Riyan Parag, Rahul Tewatia, Jofra Archer, Shreyas Gopal, Ankit Rajpoot, Kartik Tyagi",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Oct 19,2020",Chennai Super Kings have won the toss and have opted to bat,Rajasthan Royals won by 7 wkts,Jos Buttler,CSK,bat,CSK,RR,Jadeja, Stokes,1,0
15.2," Stokes to Dhoni, 1 run, another slower ball on the pads, worked away backward of square on the on-side for a single ",1st Inns,37t,Chennai Super Kings,Rajasthan Royals,"Chennai Super Kings (Playing XI): Faf du Plessis, Sam Curran, Shane Watson, Ambati Rayudu, MS Dhoni(w/c), Ravindra Jadeja, Kedar Jadhav, Deepak Chahar, Piyush Chawla, Shardul Thakur, Josh Hazlewood","Rajasthan Royals (Playing XI): Robin Uthappa, Ben Stokes, Sanju Samson(w), Steven Smith(c), Jos Buttler, Riyan Parag, Rahul Tewatia, Jofra Archer, Shreyas Gopal, Ankit Rajpoot, Kartik Tyagi",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Oct 19,2020",Chennai Super Kings have won the toss and have opted to bat,Rajasthan Royals won by 7 wkts,Jos Buttler,CSK,bat,CSK,RR,Dhoni, Stokes,1,0
