ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length,ball_line
19.4," S Kaul to Shami, out Shami Run Out!! 1 run completed. Punjab do not bat out the 20 overs. Shami makes a late call to go back for the second and is not even in the frame. The wide yorker that is squeezed out to deep backward point, he decides to get back on strike but is very late to make that call, Shankar swoops down and fires a flat throw to Bairstow, who had dropped one-bail before the ball arrived but the other was still in the groove, did the rest. Shami run out (Shankar/Bairstow) 3(3) ",1st Inns,14t,Punjab Kings,Sunrisers Hyderabad,"Punjab Kings (Playing XI): KL Rahul(w/c), Mayank Agarwal, Chris Gayle, Moises Henriques, Nicholas Pooran, Deepak Hooda, Shahrukh Khan, Fabian Allen, Murugan Ashwin, Mohammed Shami, Arshdeep Singh","Sunrisers Hyderabad (Playing XI): David Warner(c), Jonny Bairstow(w), Kane Williamson, Virat Singh, Vijay Shankar, Abhishek Sharma, Kedar Jadhav, Rashid Khan, Bhuvneshwar Kumar, Khaleel Ahmed, Siddarth Kaul",,,IPL,2021,"MA Chidambaram Stadium,Chennai","Apr 21,2021",Punjab Kings have won the toss and have opted to bat,Sunrisers Hyderabad won by 9 wkts,Jonny Bairstow,PBKS,bat,PBKS,SRH,Shami, S Kaul,out,out,yorker,wide
19.3," S Kaul to Arshdeep Singh, 1 run, chipped and safe. Arshdeep is completely deceived by the lack of pace and he lobs it tamely towards mid-off, Pandey runs in from long-off but does not get there in time ",1st Inns,14t,Punjab Kings,Sunrisers Hyderabad,"Punjab Kings (Playing XI): KL Rahul(w/c), Mayank Agarwal, Chris Gayle, Moises Henriques, Nicholas Pooran, Deepak Hooda, Shahrukh Khan, Fabian Allen, Murugan Ashwin, Mohammed Shami, Arshdeep Singh","Sunrisers Hyderabad (Playing XI): David Warner(c), Jonny Bairstow(w), Kane Williamson, Virat Singh, Vijay Shankar, Abhishek Sharma, Kedar Jadhav, Rashid Khan, Bhuvneshwar Kumar, Khaleel Ahmed, Siddarth Kaul",,,IPL,2021,"MA Chidambaram Stadium,Chennai","Apr 21,2021",Punjab Kings have won the toss and have opted to bat,Sunrisers Hyderabad won by 9 wkts,Jonny Bairstow,PBKS,bat,PBKS,SRH,Arshdeep Singh, S Kaul,1,0,,
19.2," S Kaul to Arshdeep Singh, byes, FOUR, bonus runs for Punjab. Slower off-cutter that grips the surface and deviates past Arshdeep, bounces in front of Bairstow and he does not get his body behind the line to make the stop ",1st Inns,14t,Punjab Kings,Sunrisers Hyderabad,"Punjab Kings (Playing XI): KL Rahul(w/c), Mayank Agarwal, Chris Gayle, Moises Henriques, Nicholas Pooran, Deepak Hooda, Shahrukh Khan, Fabian Allen, Murugan Ashwin, Mohammed Shami, Arshdeep Singh","Sunrisers Hyderabad (Playing XI): David Warner(c), Jonny Bairstow(w), Kane Williamson, Virat Singh, Vijay Shankar, Abhishek Sharma, Kedar Jadhav, Rashid Khan, Bhuvneshwar Kumar, Khaleel Ahmed, Siddarth Kaul",,,IPL,2021,"MA Chidambaram Stadium,Chennai","Apr 21,2021",Punjab Kings have won the toss and have opted to bat,Sunrisers Hyderabad won by 9 wkts,Jonny Bairstow,PBKS,bat,PBKS,SRH,Arshdeep Singh, S Kaul,byes,4,,
19.1," S Kaul to Murugan Ashwin, out Caught by Bairstow!! Wickets continue to tumble.. Kaul has his name in the wicket column now. Ashwin had no other option but to throw his bat, he chases a slower delivery outside off and edges it behind, Bairstow leaps to his right and takes it over his head. Five balls left.. Can Punjab bat out the 20 overs? Murugan Ashwin c Bairstow b S Kaul 9(10) [4s-1] ",1st Inns,14t,Punjab Kings,Sunrisers Hyderabad,"Punjab Kings (Playing XI): KL Rahul(w/c), Mayank Agarwal, Chris Gayle, Moises Henriques, Nicholas Pooran, Deepak Hooda, Shahrukh Khan, Fabian Allen, Murugan Ashwin, Mohammed Shami, Arshdeep Singh","Sunrisers Hyderabad (Playing XI): David Warner(c), Jonny Bairstow(w), Kane Williamson, Virat Singh, Vijay Shankar, Abhishek Sharma, Kedar Jadhav, Rashid Khan, Bhuvneshwar Kumar, Khaleel Ahmed, Siddarth Kaul",,,IPL,2021,"MA Chidambaram Stadium,Chennai","Apr 21,2021",Punjab Kings have won the toss and have opted to bat,Sunrisers Hyderabad won by 9 wkts,Jonny Bairstow,PBKS,bat,PBKS,SRH,Murugan Ashwin, S Kaul,out,out,,off side
18.6," Khaleel Ahmed to Murugan Ashwin, 1 run, pace off and slanted across, Ashwin runs it down to third man and retains strike. Khaleel Ahmed ends a good outing with the ball, he finishes with figures 4-0-21-3 ",1st Inns,14t,Punjab Kings,Sunrisers Hyderabad,"Punjab Kings (Playing XI): KL Rahul(w/c), Mayank Agarwal, Chris Gayle, Moises Henriques, Nicholas Pooran, Deepak Hooda, Shahrukh Khan, Fabian Allen, Murugan Ashwin, Mohammed Shami, Arshdeep Singh","Sunrisers Hyderabad (Playing XI): David Warner(c), Jonny Bairstow(w), Kane Williamson, Virat Singh, Vijay Shankar, Abhishek Sharma, Kedar Jadhav, Rashid Khan, Bhuvneshwar Kumar, Khaleel Ahmed, Siddarth Kaul",,,IPL,2021,"MA Chidambaram Stadium,Chennai","Apr 21,2021",Punjab Kings have won the toss and have opted to bat,Sunrisers Hyderabad won by 9 wkts,Jonny Bairstow,PBKS,bat,PBKS,SRH,Murugan Ashwin, Khaleel Ahmed,1,0,Good,
18.5," Khaleel Ahmed to Shami, 1 run, offers width on the slower delivery and Shami slaps it straight to sweeper cover ",1st Inns,14t,Punjab Kings,Sunrisers Hyderabad,"Punjab Kings (Playing XI): KL Rahul(w/c), Mayank Agarwal, Chris Gayle, Moises Henriques, Nicholas Pooran, Deepak Hooda, Shahrukh Khan, Fabian Allen, Murugan Ashwin, Mohammed Shami, Arshdeep Singh","Sunrisers Hyderabad (Playing XI): David Warner(c), Jonny Bairstow(w), Kane Williamson, Virat Singh, Vijay Shankar, Abhishek Sharma, Kedar Jadhav, Rashid Khan, Bhuvneshwar Kumar, Khaleel Ahmed, Siddarth Kaul",,,IPL,2021,"MA Chidambaram Stadium,Chennai","Apr 21,2021",Punjab Kings have won the toss and have opted to bat,Sunrisers Hyderabad won by 9 wkts,Jonny Bairstow,PBKS,bat,PBKS,SRH,Shami, Khaleel Ahmed,1,0,,
18.4," Khaleel Ahmed to Murugan Ashwin, 1 run, slower short of length delivery, Ashwin waits and dabs it down to third man ",1st Inns,14t,Punjab Kings,Sunrisers Hyderabad,"Punjab Kings (Playing XI): KL Rahul(w/c), Mayank Agarwal, Chris Gayle, Moises Henriques, Nicholas Pooran, Deepak Hooda, Shahrukh Khan, Fabian Allen, Murugan Ashwin, Mohammed Shami, Arshdeep Singh","Sunrisers Hyderabad (Playing XI): David Warner(c), Jonny Bairstow(w), Kane Williamson, Virat Singh, Vijay Shankar, Abhishek Sharma, Kedar Jadhav, Rashid Khan, Bhuvneshwar Kumar, Khaleel Ahmed, Siddarth Kaul",,,IPL,2021,"MA Chidambaram Stadium,Chennai","Apr 21,2021",Punjab Kings have won the toss and have opted to bat,Sunrisers Hyderabad won by 9 wkts,Jonny Bairstow,PBKS,bat,PBKS,SRH,Murugan Ashwin, Khaleel Ahmed,1,0,Short,
18.3," Khaleel Ahmed to Murugan Ashwin, no run, rolls his fingers across the ball and angles it outside off, Ashwin swings and misses ",1st Inns,14t,Punjab Kings,Sunrisers Hyderabad,"Punjab Kings (Playing XI): KL Rahul(w/c), Mayank Agarwal, Chris Gayle, Moises Henriques, Nicholas Pooran, Deepak Hooda, Shahrukh Khan, Fabian Allen, Murugan Ashwin, Mohammed Shami, Arshdeep Singh","Sunrisers Hyderabad (Playing XI): David Warner(c), Jonny Bairstow(w), Kane Williamson, Virat Singh, Vijay Shankar, Abhishek Sharma, Kedar Jadhav, Rashid Khan, Bhuvneshwar Kumar, Khaleel Ahmed, Siddarth Kaul",,,IPL,2021,"MA Chidambaram Stadium,Chennai","Apr 21,2021",Punjab Kings have won the toss and have opted to bat,Sunrisers Hyderabad won by 9 wkts,Jonny Bairstow,PBKS,bat,PBKS,SRH,Murugan Ashwin, Khaleel Ahmed,0,0,,off side
18.2," Khaleel Ahmed to Shami, 1 run, slower delivery on the pads, Shami nurdles it backward of square leg ",1st Inns,14t,Punjab Kings,Sunrisers Hyderabad,"Punjab Kings (Playing XI): KL Rahul(w/c), Mayank Agarwal, Chris Gayle, Moises Henriques, Nicholas Pooran, Deepak Hooda, Shahrukh Khan, Fabian Allen, Murugan Ashwin, Mohammed Shami, Arshdeep Singh","Sunrisers Hyderabad (Playing XI): David Warner(c), Jonny Bairstow(w), Kane Williamson, Virat Singh, Vijay Shankar, Abhishek Sharma, Kedar Jadhav, Rashid Khan, Bhuvneshwar Kumar, Khaleel Ahmed, Siddarth Kaul",,,IPL,2021,"MA Chidambaram Stadium,Chennai","Apr 21,2021",Punjab Kings have won the toss and have opted to bat,Sunrisers Hyderabad won by 9 wkts,Jonny Bairstow,PBKS,bat,PBKS,SRH,Shami, Khaleel Ahmed,1,0,,stump line
18.1," Khaleel Ahmed to Shahrukh Khan, out Caught by Abhishek Sharma!! Third wicket for Khaleel Ahmed. Once again the slower delivery doing the trick. Punjab's last hope of getting to a competitive total is walking back. Dug into the surface and Shahrukh had to generate all the pace on the shot, he hits it straight down deep mid-wicket's throat and Abhishek barely had to move to take that. Punjab need to ensure they at least bat out the 20 overs. Shahrukh Khan c Abhishek Sharma b Khaleel Ahmed 22(17) [6s-2] ",1st Inns,14t,Punjab Kings,Sunrisers Hyderabad,"Punjab Kings (Playing XI): KL Rahul(w/c), Mayank Agarwal, Chris Gayle, Moises Henriques, Nicholas Pooran, Deepak Hooda, Shahrukh Khan, Fabian Allen, Murugan Ashwin, Mohammed Shami, Arshdeep Singh","Sunrisers Hyderabad (Playing XI): David Warner(c), Jonny Bairstow(w), Kane Williamson, Virat Singh, Vijay Shankar, Abhishek Sharma, Kedar Jadhav, Rashid Khan, Bhuvneshwar Kumar, Khaleel Ahmed, Siddarth Kaul",,,IPL,2021,"MA Chidambaram Stadium,Chennai","Apr 21,2021",Punjab Kings have won the toss and have opted to bat,Sunrisers Hyderabad won by 9 wkts,Jonny Bairstow,PBKS,bat,PBKS,SRH,Shahrukh Khan, Khaleel Ahmed,out,out,,
17.6," S Kaul to Shahrukh Khan, 1 run, wide yorker and would have been called but Shahrukh chases, toe-ends the drive to third man and hangs onto the strike ",1st Inns,14t,Punjab Kings,Sunrisers Hyderabad,"Punjab Kings (Playing XI): KL Rahul(w/c), Mayank Agarwal, Chris Gayle, Moises Henriques, Nicholas Pooran, Deepak Hooda, Shahrukh Khan, Fabian Allen, Murugan Ashwin, Mohammed Shami, Arshdeep Singh","Sunrisers Hyderabad (Playing XI): David Warner(c), Jonny Bairstow(w), Kane Williamson, Virat Singh, Vijay Shankar, Abhishek Sharma, Kedar Jadhav, Rashid Khan, Bhuvneshwar Kumar, Khaleel Ahmed, Siddarth Kaul",,,IPL,2021,"MA Chidambaram Stadium,Chennai","Apr 21,2021",Punjab Kings have won the toss and have opted to bat,Sunrisers Hyderabad won by 9 wkts,Jonny Bairstow,PBKS,bat,PBKS,SRH,Shahrukh Khan, S Kaul,1,0,yorker,wide
17.5," S Kaul to Murugan Ashwin, 1 run, fuller than a good length, Ashwin knocks it with soft hands into the off-side and crosses over ",1st Inns,14t,Punjab Kings,Sunrisers Hyderabad,"Punjab Kings (Playing XI): KL Rahul(w/c), Mayank Agarwal, Chris Gayle, Moises Henriques, Nicholas Pooran, Deepak Hooda, Shahrukh Khan, Fabian Allen, Murugan Ashwin, Mohammed Shami, Arshdeep Singh","Sunrisers Hyderabad (Playing XI): David Warner(c), Jonny Bairstow(w), Kane Williamson, Virat Singh, Vijay Shankar, Abhishek Sharma, Kedar Jadhav, Rashid Khan, Bhuvneshwar Kumar, Khaleel Ahmed, Siddarth Kaul",,,IPL,2021,"MA Chidambaram Stadium,Chennai","Apr 21,2021",Punjab Kings have won the toss and have opted to bat,Sunrisers Hyderabad won by 9 wkts,Jonny Bairstow,PBKS,bat,PBKS,SRH,Murugan Ashwin, S Kaul,1,0,Full,
17.4," S Kaul to Murugan Ashwin, FOUR, edged and four. Handy runs for Punjab Kings. Bit of width on offer and Ashwin slashes hard, the outside edge runs away fine and beats a desperate dive from Jadhav ",1st Inns,14t,Punjab Kings,Sunrisers Hyderabad,"Punjab Kings (Playing XI): KL Rahul(w/c), Mayank Agarwal, Chris Gayle, Moises Henriques, Nicholas Pooran, Deepak Hooda, Shahrukh Khan, Fabian Allen, Murugan Ashwin, Mohammed Shami, Arshdeep Singh","Sunrisers Hyderabad (Playing XI): David Warner(c), Jonny Bairstow(w), Kane Williamson, Virat Singh, Vijay Shankar, Abhishek Sharma, Kedar Jadhav, Rashid Khan, Bhuvneshwar Kumar, Khaleel Ahmed, Siddarth Kaul",,,IPL,2021,"MA Chidambaram Stadium,Chennai","Apr 21,2021",Punjab Kings have won the toss and have opted to bat,Sunrisers Hyderabad won by 9 wkts,Jonny Bairstow,PBKS,bat,PBKS,SRH,Murugan Ashwin, S Kaul,4,0,,off side
17.3," S Kaul to Shahrukh Khan, 1 run, in the air and safe. Juicy full toss that Shahrukh does not time, he goes hard and slices it over extra cover, KW runs across from mid-off and takes it on the bounce ",1st Inns,14t,Punjab Kings,Sunrisers Hyderabad,"Punjab Kings (Playing XI): KL Rahul(w/c), Mayank Agarwal, Chris Gayle, Moises Henriques, Nicholas Pooran, Deepak Hooda, Shahrukh Khan, Fabian Allen, Murugan Ashwin, Mohammed Shami, Arshdeep Singh","Sunrisers Hyderabad (Playing XI): David Warner(c), Jonny Bairstow(w), Kane Williamson, Virat Singh, Vijay Shankar, Abhishek Sharma, Kedar Jadhav, Rashid Khan, Bhuvneshwar Kumar, Khaleel Ahmed, Siddarth Kaul",,,IPL,2021,"MA Chidambaram Stadium,Chennai","Apr 21,2021",Punjab Kings have won the toss and have opted to bat,Sunrisers Hyderabad won by 9 wkts,Jonny Bairstow,PBKS,bat,PBKS,SRH,Shahrukh Khan, S Kaul,1,0,Full,
17.2," S Kaul to Murugan Ashwin, 1 run, on a length and close to off, Ashwin drops it in front of backward point and Shahrukh races across, Shankar runs in and fails to collect the ball making it easy for the duo to complete the single ",1st Inns,14t,Punjab Kings,Sunrisers Hyderabad,"Punjab Kings (Playing XI): KL Rahul(w/c), Mayank Agarwal, Chris Gayle, Moises Henriques, Nicholas Pooran, Deepak Hooda, Shahrukh Khan, Fabian Allen, Murugan Ashwin, Mohammed Shami, Arshdeep Singh","Sunrisers Hyderabad (Playing XI): David Warner(c), Jonny Bairstow(w), Kane Williamson, Virat Singh, Vijay Shankar, Abhishek Sharma, Kedar Jadhav, Rashid Khan, Bhuvneshwar Kumar, Khaleel Ahmed, Siddarth Kaul",,,IPL,2021,"MA Chidambaram Stadium,Chennai","Apr 21,2021",Punjab Kings have won the toss and have opted to bat,Sunrisers Hyderabad won by 9 wkts,Jonny Bairstow,PBKS,bat,PBKS,SRH,Murugan Ashwin, S Kaul,1,0,Good,off side
17.1," S Kaul to Murugan Ashwin, no run, back of a length around off, Ashwin shuffles and tucks it to short mid-wicket ",1st Inns,14t,Punjab Kings,Sunrisers Hyderabad,"Punjab Kings (Playing XI): KL Rahul(w/c), Mayank Agarwal, Chris Gayle, Moises Henriques, Nicholas Pooran, Deepak Hooda, Shahrukh Khan, Fabian Allen, Murugan Ashwin, Mohammed Shami, Arshdeep Singh","Sunrisers Hyderabad (Playing XI): David Warner(c), Jonny Bairstow(w), Kane Williamson, Virat Singh, Vijay Shankar, Abhishek Sharma, Kedar Jadhav, Rashid Khan, Bhuvneshwar Kumar, Khaleel Ahmed, Siddarth Kaul",,,IPL,2021,"MA Chidambaram Stadium,Chennai","Apr 21,2021",Punjab Kings have won the toss and have opted to bat,Sunrisers Hyderabad won by 9 wkts,Jonny Bairstow,PBKS,bat,PBKS,SRH,Murugan Ashwin, S Kaul,0,0,Back of Length,
16.6," Khaleel Ahmed to Murugan Ashwin, 1 run, slower delivery outside off, Ashwin taps it on the head and directs it square on the off-side, just a single ",1st Inns,14t,Punjab Kings,Sunrisers Hyderabad,"Punjab Kings (Playing XI): KL Rahul(w/c), Mayank Agarwal, Chris Gayle, Moises Henriques, Nicholas Pooran, Deepak Hooda, Shahrukh Khan, Fabian Allen, Murugan Ashwin, Mohammed Shami, Arshdeep Singh","Sunrisers Hyderabad (Playing XI): David Warner(c), Jonny Bairstow(w), Kane Williamson, Virat Singh, Vijay Shankar, Abhishek Sharma, Kedar Jadhav, Rashid Khan, Bhuvneshwar Kumar, Khaleel Ahmed, Siddarth Kaul",,,IPL,2021,"MA Chidambaram Stadium,Chennai","Apr 21,2021",Punjab Kings have won the toss and have opted to bat,Sunrisers Hyderabad won by 9 wkts,Jonny Bairstow,PBKS,bat,PBKS,SRH,Murugan Ashwin, Khaleel Ahmed,1,0,,off side
16.5," Khaleel Ahmed to Murugan Ashwin, no run, full toss outside off and Ashwin missses out, he's late on the drive and the ball bounces in front of Bairstow ",1st Inns,14t,Punjab Kings,Sunrisers Hyderabad,"Punjab Kings (Playing XI): KL Rahul(w/c), Mayank Agarwal, Chris Gayle, Moises Henriques, Nicholas Pooran, Deepak Hooda, Shahrukh Khan, Fabian Allen, Murugan Ashwin, Mohammed Shami, Arshdeep Singh","Sunrisers Hyderabad (Playing XI): David Warner(c), Jonny Bairstow(w), Kane Williamson, Virat Singh, Vijay Shankar, Abhishek Sharma, Kedar Jadhav, Rashid Khan, Bhuvneshwar Kumar, Khaleel Ahmed, Siddarth Kaul",,,IPL,2021,"MA Chidambaram Stadium,Chennai","Apr 21,2021",Punjab Kings have won the toss and have opted to bat,Sunrisers Hyderabad won by 9 wkts,Jonny Bairstow,PBKS,bat,PBKS,SRH,Murugan Ashwin, Khaleel Ahmed,0,0,Full,off side
16.4," Khaleel Ahmed to Fabian Allen, out Caught by Warner!! Once again Punjab Kings lose a wicket when the partnership was starting to get the innings back on track. That has been the case right through the innings. Khaleel hits the hard length and takes pace off, Allen goes for the flat-batted hit but the ball hits the splice of the bat and balloons towards extra cover, Warner runs to his right and dives across to gobble it up. Fabian Allen c Warner b Khaleel Ahmed 6(11) ",1st Inns,14t,Punjab Kings,Sunrisers Hyderabad,"Punjab Kings (Playing XI): KL Rahul(w/c), Mayank Agarwal, Chris Gayle, Moises Henriques, Nicholas Pooran, Deepak Hooda, Shahrukh Khan, Fabian Allen, Murugan Ashwin, Mohammed Shami, Arshdeep Singh","Sunrisers Hyderabad (Playing XI): David Warner(c), Jonny Bairstow(w), Kane Williamson, Virat Singh, Vijay Shankar, Abhishek Sharma, Kedar Jadhav, Rashid Khan, Bhuvneshwar Kumar, Khaleel Ahmed, Siddarth Kaul",,,IPL,2021,"MA Chidambaram Stadium,Chennai","Apr 21,2021",Punjab Kings have won the toss and have opted to bat,Sunrisers Hyderabad won by 9 wkts,Jonny Bairstow,PBKS,bat,PBKS,SRH,Fabian Allen, Khaleel Ahmed,out,out,,
16.3," Khaleel Ahmed to Shahrukh Khan, 1 run, banged in slower delivery, Shahrukh pulls it to deep mid-wicket and picks out the fielder ",1st Inns,14t,Punjab Kings,Sunrisers Hyderabad,"Punjab Kings (Playing XI): KL Rahul(w/c), Mayank Agarwal, Chris Gayle, Moises Henriques, Nicholas Pooran, Deepak Hooda, Shahrukh Khan, Fabian Allen, Murugan Ashwin, Mohammed Shami, Arshdeep Singh","Sunrisers Hyderabad (Playing XI): David Warner(c), Jonny Bairstow(w), Kane Williamson, Virat Singh, Vijay Shankar, Abhishek Sharma, Kedar Jadhav, Rashid Khan, Bhuvneshwar Kumar, Khaleel Ahmed, Siddarth Kaul",,,IPL,2021,"MA Chidambaram Stadium,Chennai","Apr 21,2021",Punjab Kings have won the toss and have opted to bat,Sunrisers Hyderabad won by 9 wkts,Jonny Bairstow,PBKS,bat,PBKS,SRH,Shahrukh Khan, Khaleel Ahmed,1,0,,
16.2," Khaleel Ahmed to Fabian Allen, 1 run, no pace on the ball again, Allen steers it to short third man ",1st Inns,14t,Punjab Kings,Sunrisers Hyderabad,"Punjab Kings (Playing XI): KL Rahul(w/c), Mayank Agarwal, Chris Gayle, Moises Henriques, Nicholas Pooran, Deepak Hooda, Shahrukh Khan, Fabian Allen, Murugan Ashwin, Mohammed Shami, Arshdeep Singh","Sunrisers Hyderabad (Playing XI): David Warner(c), Jonny Bairstow(w), Kane Williamson, Virat Singh, Vijay Shankar, Abhishek Sharma, Kedar Jadhav, Rashid Khan, Bhuvneshwar Kumar, Khaleel Ahmed, Siddarth Kaul",,,IPL,2021,"MA Chidambaram Stadium,Chennai","Apr 21,2021",Punjab Kings have won the toss and have opted to bat,Sunrisers Hyderabad won by 9 wkts,Jonny Bairstow,PBKS,bat,PBKS,SRH,Fabian Allen, Khaleel Ahmed,1,0,Short,
16.1," Khaleel Ahmed to Shahrukh Khan, 1 run, bit of confusion but they get the single. Starts with a slower delivery outside off, Shahrukh directs it to backward point and Jadhav makes a tumbling stop ",1st Inns,14t,Punjab Kings,Sunrisers Hyderabad,"Punjab Kings (Playing XI): KL Rahul(w/c), Mayank Agarwal, Chris Gayle, Moises Henriques, Nicholas Pooran, Deepak Hooda, Shahrukh Khan, Fabian Allen, Murugan Ashwin, Mohammed Shami, Arshdeep Singh","Sunrisers Hyderabad (Playing XI): David Warner(c), Jonny Bairstow(w), Kane Williamson, Virat Singh, Vijay Shankar, Abhishek Sharma, Kedar Jadhav, Rashid Khan, Bhuvneshwar Kumar, Khaleel Ahmed, Siddarth Kaul",,,IPL,2021,"MA Chidambaram Stadium,Chennai","Apr 21,2021",Punjab Kings have won the toss and have opted to bat,Sunrisers Hyderabad won by 9 wkts,Jonny Bairstow,PBKS,bat,PBKS,SRH,Shahrukh Khan, Khaleel Ahmed,1,0,,off side
15.6," Rashid Khan to Shahrukh Khan, 1 run, fraction short and outside off, Shahrukh chops it square on the off-side and retains strike with a single. Rashid Khan is done with the ball and he finishes with 4-0-17-1 ",1st Inns,14t,Punjab Kings,Sunrisers Hyderabad,"Punjab Kings (Playing XI): KL Rahul(w/c), Mayank Agarwal, Chris Gayle, Moises Henriques, Nicholas Pooran, Deepak Hooda, Shahrukh Khan, Fabian Allen, Murugan Ashwin, Mohammed Shami, Arshdeep Singh","Sunrisers Hyderabad (Playing XI): David Warner(c), Jonny Bairstow(w), Kane Williamson, Virat Singh, Vijay Shankar, Abhishek Sharma, Kedar Jadhav, Rashid Khan, Bhuvneshwar Kumar, Khaleel Ahmed, Siddarth Kaul",,,IPL,2021,"MA Chidambaram Stadium,Chennai","Apr 21,2021",Punjab Kings have won the toss and have opted to bat,Sunrisers Hyderabad won by 9 wkts,Jonny Bairstow,PBKS,bat,PBKS,SRH,Shahrukh Khan, Rashid Khan,1,0,Short,off side
15.5," Rashid Khan to Shahrukh Khan, no run, quicker and keeps low, Shahrukh sits back and manages to keep it out ",1st Inns,14t,Punjab Kings,Sunrisers Hyderabad,"Punjab Kings (Playing XI): KL Rahul(w/c), Mayank Agarwal, Chris Gayle, Moises Henriques, Nicholas Pooran, Deepak Hooda, Shahrukh Khan, Fabian Allen, Murugan Ashwin, Mohammed Shami, Arshdeep Singh","Sunrisers Hyderabad (Playing XI): David Warner(c), Jonny Bairstow(w), Kane Williamson, Virat Singh, Vijay Shankar, Abhishek Sharma, Kedar Jadhav, Rashid Khan, Bhuvneshwar Kumar, Khaleel Ahmed, Siddarth Kaul",,,IPL,2021,"MA Chidambaram Stadium,Chennai","Apr 21,2021",Punjab Kings have won the toss and have opted to bat,Sunrisers Hyderabad won by 9 wkts,Jonny Bairstow,PBKS,bat,PBKS,SRH,Shahrukh Khan, Rashid Khan,0,0,,
15.4," Rashid Khan to Fabian Allen, 1 run, wrong 'un turning in, Allen ekes out an inside edge towards square leg ",1st Inns,14t,Punjab Kings,Sunrisers Hyderabad,"Punjab Kings (Playing XI): KL Rahul(w/c), Mayank Agarwal, Chris Gayle, Moises Henriques, Nicholas Pooran, Deepak Hooda, Shahrukh Khan, Fabian Allen, Murugan Ashwin, Mohammed Shami, Arshdeep Singh","Sunrisers Hyderabad (Playing XI): David Warner(c), Jonny Bairstow(w), Kane Williamson, Virat Singh, Vijay Shankar, Abhishek Sharma, Kedar Jadhav, Rashid Khan, Bhuvneshwar Kumar, Khaleel Ahmed, Siddarth Kaul",,,IPL,2021,"MA Chidambaram Stadium,Chennai","Apr 21,2021",Punjab Kings have won the toss and have opted to bat,Sunrisers Hyderabad won by 9 wkts,Jonny Bairstow,PBKS,bat,PBKS,SRH,Fabian Allen, Rashid Khan,1,0,,
15.3," Rashid Khan to Shahrukh Khan, 1 run, googly outside off, Shahrukh drives and gets an inside edge through the mid-wicket pocket ",1st Inns,14t,Punjab Kings,Sunrisers Hyderabad,"Punjab Kings (Playing XI): KL Rahul(w/c), Mayank Agarwal, Chris Gayle, Moises Henriques, Nicholas Pooran, Deepak Hooda, Shahrukh Khan, Fabian Allen, Murugan Ashwin, Mohammed Shami, Arshdeep Singh","Sunrisers Hyderabad (Playing XI): David Warner(c), Jonny Bairstow(w), Kane Williamson, Virat Singh, Vijay Shankar, Abhishek Sharma, Kedar Jadhav, Rashid Khan, Bhuvneshwar Kumar, Khaleel Ahmed, Siddarth Kaul",,,IPL,2021,"MA Chidambaram Stadium,Chennai","Apr 21,2021",Punjab Kings have won the toss and have opted to bat,Sunrisers Hyderabad won by 9 wkts,Jonny Bairstow,PBKS,bat,PBKS,SRH,Shahrukh Khan, Rashid Khan,1,0,,off side
15.2," Rashid Khan to Fabian Allen, 1 run, really full delivery and Allen squirts an inside edge to backward square leg, just a single ",1st Inns,14t,Punjab Kings,Sunrisers Hyderabad,"Punjab Kings (Playing XI): KL Rahul(w/c), Mayank Agarwal, Chris Gayle, Moises Henriques, Nicholas Pooran, Deepak Hooda, Shahrukh Khan, Fabian Allen, Murugan Ashwin, Mohammed Shami, Arshdeep Singh","Sunrisers Hyderabad (Playing XI): David Warner(c), Jonny Bairstow(w), Kane Williamson, Virat Singh, Vijay Shankar, Abhishek Sharma, Kedar Jadhav, Rashid Khan, Bhuvneshwar Kumar, Khaleel Ahmed, Siddarth Kaul",,,IPL,2021,"MA Chidambaram Stadium,Chennai","Apr 21,2021",Punjab Kings have won the toss and have opted to bat,Sunrisers Hyderabad won by 9 wkts,Jonny Bairstow,PBKS,bat,PBKS,SRH,Fabian Allen, Rashid Khan,1,0,Full,
15.1," Rashid Khan to Fabian Allen, no run, when Rashid is turning his leg-break, you know how well the surface is playing for a spinner. Tossed up around off, Allen is drawn into the forward defensive and the ball spins away a mile to beat the bat ",1st Inns,14t,Punjab Kings,Sunrisers Hyderabad,"Punjab Kings (Playing XI): KL Rahul(w/c), Mayank Agarwal, Chris Gayle, Moises Henriques, Nicholas Pooran, Deepak Hooda, Shahrukh Khan, Fabian Allen, Murugan Ashwin, Mohammed Shami, Arshdeep Singh","Sunrisers Hyderabad (Playing XI): David Warner(c), Jonny Bairstow(w), Kane Williamson, Virat Singh, Vijay Shankar, Abhishek Sharma, Kedar Jadhav, Rashid Khan, Bhuvneshwar Kumar, Khaleel Ahmed, Siddarth Kaul",,,IPL,2021,"MA Chidambaram Stadium,Chennai","Apr 21,2021",Punjab Kings have won the toss and have opted to bat,Sunrisers Hyderabad won by 9 wkts,Jonny Bairstow,PBKS,bat,PBKS,SRH,Fabian Allen, Rashid Khan,0,0,Full toss,
